Time,Fg_Input,MS_S3.Freq_Grid,MS_S3.Sfb,MS_S3.VAn_RMS_Grid,MS_S3.Van_Grid,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,Vg_Input
-0.05,1.0,50.0,1.0,231.7977,201.46005,1.0,-1.0,1.0,1.0037135,1.0
-0.0495,1.0,50.0,1.0,231.7977,239.43376,1.0,-1.0,1.0,1.0037135,1.0
-0.049,1.0,50.0,1.0,231.7977,271.51184,1.0,-1.0,1.0,1.0037135,1.0
-0.0485,1.0,50.0,1.0,231.7977,296.9044,1.0,-1.0,1.0,1.0037135,1.0
-0.048,1.0,50.0,1.0,231.7977,314.98618,1.0,-1.0,1.0,1.0037135,1.0
-0.0475,1.0,50.0,1.0,231.7977,325.31192,1.0,-1.0,1.0,1.0037135,1.0
-0.047,1.0,50.0,1.0,231.7977,327.62744,1.0,-1.0,1.0,1.0037135,1.0
-0.0465,1.0,50.0,1.0,231.7977,321.87567,1.0,-1.0,1.0,1.0037135,1.0
-0.046,1.0,50.0,1.0,231.7977,308.19827,1.0,-1.0,1.0,1.0037135,1.0
-0.0455,1.0,50.0,1.0,231.7977,286.932,1.0,-1.0,1.0,1.0037135,1.0
-0.045,1.0,50.0,1.0,231.7977,258.6005,1.0,-1.0,1.0,1.0037135,1.0
-0.0445,1.0,50.0,1.0,231.7977,223.90141,1.0,-1.0,1.0,1.0037135,1.0
-0.044,1.0,50.0,1.0,231.7977,183.68913,1.0,-1.0,1.0,1.0037135,1.0
-0.0435,1.0,50.0,1.0,231.7977,138.9538,1.0,-1.0,1.0,1.0037135,1.0
-0.043,1.0,50.0,1.0,231.7977,90.796974,1.0,-1.0,1.0,1.0037135,1.0
-0.0425,1.0,50.0,1.0,231.7977,40.40441,1.0,-1.0,1.0,1.0037135,1.0
-0.042,1.0,50.0,1.0,231.7977,-10.983052,1.0,-1.0,1.0,1.0037135,1.0
-0.0415,1.0,50.0,1.0,231.7977,-62.10004,1.0,-1.0,1.0,1.0037135,1.0
-0.041,1.0,50.0,1.0,231.7977,-111.68794,1.0,-1.0,1.0,1.0037135,1.0
-0.0405,1.0,50.0,1.0,231.7977,-158.52571,1.0,-1.0,1.0,1.0037135,1.0
-0.04,1.0,50.0,1.0,231.7977,-201.46,1.0,-1.0,1.0,1.0037135,1.0
-0.0395,1.0,50.0,1.0,231.7977,-239.43379,1.0,-1.0,1.0,1.0037135,1.0
-0.039,1.0,50.0,1.0,231.7977,-271.51187,1.0,-1.0,1.0,1.0037135,1.0
-0.0385,1.0,50.0,1.0,231.7977,-296.9044,1.0,-1.0,1.0,1.0037135,1.0
-0.038,1.0,50.0,1.0,231.7977,-314.98615,1.0,-1.0,1.0,1.0037135,1.0
-0.0375,1.0,50.0,1.0,231.7977,-325.31195,1.0,-1.0,1.0,1.0037135,1.0
-0.037,1.0,50.0,1.0,231.7977,-327.62744,1.0,-1.0,1.0,1.0037135,1.0
-0.0365,1.0,50.0,1.0,231.7977,-321.8757,1.0,-1.0,1.0,1.0037135,1.0
-0.036,1.0,50.0,1.0,231.7977,-308.19824,1.0,-1.0,1.0,1.0037135,1.0
-0.0355,1.0,50.0,1.0,231.7977,-286.932,1.0,-1.0,1.0,1.0037135,1.0
-0.035,1.0,50.0,1.0,231.7977,-258.60052,1.0,-1.0,1.0,1.0037135,1.0
-0.0345,1.0,50.0,1.0,231.7977,-223.90138,1.0,-1.0,1.0,1.0037135,1.0
-0.034,1.0,50.0,1.0,231.7977,-183.68913,1.0,-1.0,1.0,1.0037135,1.0
-0.0335,1.0,50.0,1.0,231.7977,-138.95381,1.0,-1.0,1.0,1.0037135,1.0
-0.033,1.0,50.0,1.0,231.7977,-90.79698,1.0,-1.0,1.0,1.0037135,1.0
-0.0325,1.0,50.0,1.0,231.7977,-40.404434,1.0,-1.0,1.0,1.0037135,1.0
-0.032,1.0,50.0,1.0,231.7977,10.983042,1.0,-1.0,1.0,1.0037135,1.0
-0.0315,1.0,50.0,1.0,231.7977,62.100025,1.0,-1.0,1.0,1.0037135,1.0
-0.031,1.0,50.0,1.0,231.7977,111.68792,1.0,-1.0,1.0,1.0037135,1.0
-0.0305,1.0,50.0,1.0,231.7977,158.52571,1.0,-1.0,1.0,1.0037135,1.0
-0.03,1.0,50.0,1.0,231.7977,201.46004,1.0,-1.0,1.0,1.0037135,1.0
-0.0295,1.0,50.0,1.0,231.7977,239.43375,1.0,-1.0,1.0,1.0037135,1.0
-0.029,1.0,50.0,1.0,231.7977,271.51184,1.0,-1.0,1.0,1.0037135,1.0
-0.0285,1.0,50.0,1.0,231.7977,296.9044,1.0,-1.0,1.0,1.0037135,1.0
-0.028,1.0,50.0,1.0,231.7977,314.98618,1.0,-1.0,1.0,1.0037135,1.0
-0.0275,1.0,50.0,1.0,231.7977,325.31192,1.0,-1.0,1.0,1.0037135,1.0
-0.027,1.0,50.0,1.0,231.7977,327.62744,1.0,-1.0,1.0,1.0037135,1.0
-0.0265,1.0,50.0,1.0,231.7977,321.87573,1.0,-1.0,1.0,1.0037135,1.0
-0.026,1.0,50.0,1.0,231.7977,308.19827,1.0,-1.0,1.0,1.0037135,1.0
-0.0255,1.0,50.0,1.0,231.7977,286.93204,1.0,-1.0,1.0,1.0037135,1.0
-0.025,1.0,50.0,1.0,231.7977,258.6005,1.0,-1.0,1.0,1.0037135,1.0
-0.0245,1.0,50.0,1.0,231.7977,223.90143,1.0,-1.0,1.0,1.0037135,1.0
-0.024,1.0,50.0,1.0,231.7977,183.68913,1.0,-1.0,1.0,1.0037135,1.0
-0.0235,1.0,50.0,1.0,231.7977,138.95381,1.0,-1.0,1.0,1.0037135,1.0
-0.023,1.0,50.0,1.0,231.7977,90.79698,1.0,-1.0,1.0,1.0037135,1.0
-0.0225,1.0,50.0,1.0,231.7977,40.40444,1.0,-1.0,1.0,1.0037135,1.0
-0.022,1.0,50.0,1.0,231.7977,-10.983038,1.0,-1.0,1.0,1.0037135,1.0
-0.0215,1.0,50.0,1.0,231.7977,-62.10003,1.0,-1.0,1.0,1.0037135,1.0
-0.021,1.0,50.0,1.0,231.7977,-111.68789,1.0,-1.0,1.0,1.0037135,1.0
-0.0205,1.0,50.0,1.0,231.7977,-158.5257,1.0,-1.0,1.0,1.0037135,1.0
-0.02,1.0,50.0,1.0,231.7977,-201.45999,1.0,-1.0,1.0,1.0037135,1.0
-0.0195,1.0,50.0,1.0,231.7977,-239.43378,1.0,-1.0,1.0,1.0037135,1.0
-0.019,1.0,50.0,1.0,231.7977,-271.51184,1.0,-1.0,1.0,1.0037135,1.0
-0.0185,1.0,50.0,1.0,231.7977,-296.90436,1.0,-1.0,1.0,1.0037135,1.0
-0.018,1.0,50.0,1.0,231.7977,-314.98615,1.0,-1.0,1.0,1.0037135,1.0
-0.0175,1.0,50.0,1.0,231.7977,-325.31195,1.0,-1.0,1.0,1.0037135,1.0
-0.017,1.0,50.0,1.0,231.7977,-327.62747,1.0,-1.0,1.0,1.0037135,1.0
-0.0165,1.0,50.0,1.0,231.7977,-321.87567,1.0,-1.0,1.0,1.0037135,1.0
-0.016,1.0,50.0,1.0,231.7977,-308.19827,1.0,-1.0,1.0,1.0037135,1.0
-0.0155,1.0,50.0,1.0,231.7977,-286.932,1.0,-1.0,1.0,1.0037135,1.0
-0.015,1.0,50.0,1.0,231.7977,-258.60052,1.0,-1.0,1.0,1.0037135,1.0
-0.0145,1.0,50.0,1.0,231.7977,-223.9014,1.0,-1.0,1.0,1.0037135,1.0
-0.014,1.0,50.0,1.0,231.7977,-183.68915,1.0,-1.0,1.0,1.0037135,1.0
-0.0135,1.0,50.0,1.0,231.7977,-138.95381,1.0,-1.0,1.0,1.0037135,1.0
-0.013,1.0,50.0,1.0,231.7977,-90.79697,1.0,-1.0,1.0,1.0037135,1.0
-0.0125,1.0,50.0,1.0,231.7977,-40.40445,1.0,-1.0,1.0,1.0037135,1.0
-0.012,1.0,50.0,1.0,231.7977,10.983024,1.0,-1.0,1.0,1.0037135,1.0
-0.0115,1.0,50.0,1.0,231.7977,62.100006,1.0,-1.0,1.0,1.0037135,1.0
-0.011,1.0,50.0,1.0,231.7977,111.68792,1.0,-1.0,1.0,1.0037135,1.0
-0.0105,1.0,50.0,1.0,231.7977,158.5257,1.0,-1.0,1.0,1.0037135,1.0
-0.01,1.0,50.0,1.0,231.7977,201.46,1.0,-1.0,1.0,1.0037135,1.0
-0.0095,1.0,50.0,1.0,231.7977,239.43373,1.0,-1.0,1.0,1.0037135,1.0
-0.009,1.0,50.0,1.0,231.7977,271.51184,1.0,-1.0,1.0,1.0037135,1.0
-0.0085,1.0,50.0,1.0,231.7977,296.9044,1.0,-1.0,1.0,1.0037135,1.0
-0.008,1.0,50.0,1.0,231.7977,314.98615,1.0,-1.0,1.0,1.0037135,1.0
-0.0075,1.0,50.0,1.0,231.7977,325.31198,1.0,-1.0,1.0,1.0037135,1.0
-0.007,1.0,50.0,1.0,231.7977,327.62744,1.0,-1.0,1.0,1.0037135,1.0
-0.0065,1.0,50.0,1.0,231.7977,321.87573,1.0,-1.0,1.0,1.0037135,1.0
-0.006,1.0,50.0,1.0,231.7977,308.1983,1.0,-1.0,1.0,1.0037135,1.0
-0.0055,1.0,50.0,1.0,231.7977,286.93198,1.0,-1.0,1.0,1.0037135,1.0
-0.005,1.0,50.0,1.0,231.7977,258.60052,1.0,-1.0,1.0,1.0037135,1.0
-0.0045,1.0,50.0,1.0,231.7977,223.90144,1.0,-1.0,1.0,1.0037135,1.0
-0.004,1.0,50.0,1.0,231.7977,183.68915,1.0,-1.0,1.0,1.0037135,1.0
-0.0035,1.0,50.0,1.0,231.7977,138.95381,1.0,-1.0,1.0,1.0037135,1.0
-0.003,1.0,50.0,1.0,231.7977,90.797,1.0,-1.0,1.0,1.0037135,1.0
-0.0025,1.0,50.0,1.0,231.7977,40.404427,1.0,-1.0,1.0,1.0037135,1.0
-0.002,1.0,50.0,1.0,231.7977,-10.983024,1.0,-1.0,1.0,1.0037135,1.0
-0.0015,1.0,50.0,1.0,231.7977,-62.10002,1.0,-1.0,1.0,1.0037135,1.0
-0.001,1.0,50.0,1.0,231.7977,-111.687874,1.0,-1.0,1.0,1.0037135,1.0
-0.0005,1.0,50.0,1.0,231.7977,-158.52568,1.0,-1.0,1.0,1.0037135,1.0
0.0,0.93,50.0,1.0,231.7977,-199.03761,1.0,-1.0,0.99999994,1.0037135,1.0
0.0005,0.93,49.99994,1.0,231.7977,-234.93738,1.0,-1.0,0.99999875,1.0037135,1.0
0.001,0.93,49.99969,1.0,231.7977,-265.70953,1.0,-1.0,0.9999938,1.0037135,1.0
0.0015,0.93,49.999126,1.0,231.7977,-290.72855,1.0,-1.0,0.9999825,1.0037135,1.0
0.002,0.93,49.99814,1.0,231.7977,-309.49582,1.0,-1.0,0.99996275,1.0037135,1.0
0.0025,0.93,49.996628,1.0,231.7977,-321.64423,1.0,-1.0,0.9999326,1.0037135,1.0
0.003,0.93,49.99452,1.0,231.7977,-326.94284,1.0,-1.0,0.9998904,1.0037135,1.0
0.0035,0.93,49.991737,1.0,231.7977,-325.29807,1.0,-1.0,0.9998347,1.0037135,1.0
0.004,0.93,49.988224,1.0,231.7977,-316.75555,1.0,-1.0,0.99976444,1.0037135,1.0
0.0045,0.93,49.98393,1.0,231.7977,-301.49915,1.0,-1.0,0.9996786,1.0037135,1.0
