Time,Fg_Input,MS_S3.Freq_Grid,MS_S3.Sfb,MS_S3.VAn_RMS_Grid,MS_S3.Van_Grid,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,Vg_Input
-0.05,1.0,50.0,1.0,231.7977,281.61734,1.0,-1.0,1.0,1.0037135,1.0
-0.0495,1.0,50.0,1.0,231.7977,304.39755,1.0,-1.0,1.0,1.0037135,1.0
-0.049,1.0,50.0,1.0,231.7977,319.68246,1.0,-1.0,1.0,1.0037135,1.0
-0.0485,1.0,50.0,1.0,231.7977,327.09573,1.0,-1.0,1.0,1.0037135,1.0
-0.048,1.0,50.0,1.0,231.7977,326.45486,1.0,-1.0,1.0,1.0037135,1.0
-0.0475,1.0,50.0,1.0,231.7977,317.7755,1.0,-1.0,1.0,1.0037135,1.0
-0.047,1.0,50.0,1.0,231.7977,301.2715,1.0,-1.0,1.0,1.0037135,1.0
-0.0465,1.0,50.0,1.0,231.7977,277.34924,1.0,-1.0,1.0,1.0037135,1.0
-0.046,1.0,50.0,1.0,231.7977,246.59769,1.0,-1.0,1.0,1.0037135,1.0
-0.0455,1.0,50.0,1.0,231.7977,209.77406,1.0,-1.0,1.0,1.0037135,1.0
-0.045,1.0,50.0,1.0,231.7977,167.78513,1.0,-1.0,1.0,1.0037135,1.0
-0.0445,1.0,50.0,1.0,231.7977,121.664734,1.0,-1.0,1.0,1.0037135,1.0
-0.044,1.0,50.0,1.0,231.7977,72.548584,1.0,-1.0,1.0,1.0037135,1.0
-0.0435,1.0,50.0,1.0,231.7977,21.64603,1.0,-1.0,1.0,1.0037135,1.0
-0.043,1.0,50.0,1.0,231.7977,-29.789516,1.0,-1.0,1.0,1.0037135,1.0
-0.0425,1.0,50.0,1.0,231.7977,-80.49153,1.0,-1.0,1.0,1.0037135,1.0
-0.042,1.0,50.0,1.0,231.7977,-129.21162,1.0,-1.0,1.0,1.0037135,1.0
-0.0415,1.0,50.0,1.0,231.7977,-174.75003,1.0,-1.0,1.0,1.0037135,1.0
-0.041,1.0,50.0,1.0,231.7977,-215.98558,1.0,-1.0,1.0,1.0037135,1.0
-0.0405,1.0,50.0,1.0,231.7977,-251.9028,1.0,-1.0,1.0,1.0037135,1.0
-0.04,1.0,50.0,1.0,231.7977,-281.6173,1.0,-1.0,1.0,1.0037135,1.0
-0.0395,1.0,50.0,1.0,231.7977,-304.39755,1.0,-1.0,1.0,1.0037135,1.0
-0.039,1.0,50.0,1.0,231.7977,-319.68246,1.0,-1.0,1.0,1.0037135,1.0
-0.0385,1.0,50.0,1.0,231.7977,-327.09573,1.0,-1.0,1.0,1.0037135,1.0
-0.038,1.0,50.0,1.0,231.7977,-326.45483,1.0,-1.0,1.0,1.0037135,1.0
-0.0375,1.0,50.0,1.0,231.7977,-317.7755,1.0,-1.0,1.0,1.0037135,1.0
-0.037,1.0,50.0,1.0,231.7977,-301.27155,1.0,-1.0,1.0,1.0037135,1.0
-0.0365,1.0,50.0,1.0,231.7977,-277.34927,1.0,-1.0,1.0,1.0037135,1.0
-0.036,1.0,50.0,1.0,231.7977,-246.59766,1.0,-1.0,1.0,1.0037135,1.0
-0.0355,1.0,50.0,1.0,231.7977,-209.77408,1.0,-1.0,1.0,1.0037135,1.0
-0.035,1.0,50.0,1.0,231.7977,-167.78513,1.0,-1.0,1.0,1.0037135,1.0
-0.0345,1.0,50.0,1.0,231.7977,-121.66472,1.0,-1.0,1.0,1.0037135,1.0
-0.034,1.0,50.0,1.0,231.7977,-72.5486,1.0,-1.0,1.0,1.0037135,1.0
-0.0335,1.0,50.0,1.0,231.7977,-21.64602,1.0,-1.0,1.0,1.0037135,1.0
-0.033,1.0,50.0,1.0,231.7977,29.78949,1.0,-1.0,1.0,1.0037135,1.0
-0.0325,1.0,50.0,1.0,231.7977,80.49156,1.0,-1.0,1.0,1.0037135,1.0
-0.032,1.0,50.0,1.0,231.7977,129.2116,1.0,-1.0,1.0,1.0037135,1.0
-0.0315,1.0,50.0,1.0,231.7977,174.75003,1.0,-1.0,1.0,1.0037135,1.0
-0.031,1.0,50.0,1.0,231.7977,215.98553,1.0,-1.0,1.0,1.0037135,1.0
-0.0305,1.0,50.0,1.0,231.7977,251.90279,1.0,-1.0,1.0,1.0037135,1.0
-0.03,1.0,50.0,1.0,231.7977,281.61737,1.0,-1.0,1.0,1.0037135,1.0
-0.0295,1.0,50.0,1.0,231.7977,304.39752,1.0,-1.0,1.0,1.0037135,1.0
-0.029,1.0,50.0,1.0,231.7977,319.6825,1.0,-1.0,1.0,1.0037135,1.0
-0.0285,1.0,50.0,1.0,231.7977,327.09573,1.0,-1.0,1.0,1.0037135,1.0
-0.028,1.0,50.0,1.0,231.7977,326.4549,1.0,-1.0,1.0,1.0037135,1.0
-0.0275,1.0,50.0,1.0,231.7977,317.77554,1.0,-1.0,1.0,1.0037135,1.0
-0.027,1.0,50.0,1.0,231.7977,301.27155,1.0,-1.0,1.0,1.0037135,1.0
-0.0265,1.0,50.0,1.0,231.7977,277.34927,1.0,-1.0,1.0,1.0037135,1.0
-0.026,1.0,50.0,1.0,231.7977,246.5977,1.0,-1.0,1.0,1.0037135,1.0
-0.0255,1.0,50.0,1.0,231.7977,209.77406,1.0,-1.0,1.0,1.0037135,1.0
-0.025,1.0,50.0,1.0,231.7977,167.78513,1.0,-1.0,1.0,1.0037135,1.0
-0.0245,1.0,50.0,1.0,231.7977,121.66476,1.0,-1.0,1.0,1.0037135,1.0
-0.024,1.0,50.0,1.0,231.7977,72.54858,1.0,-1.0,1.0,1.0037135,1.0
-0.0235,1.0,50.0,1.0,231.7977,21.646044,1.0,-1.0,1.0,1.0037135,1.0
-0.023,1.0,50.0,1.0,231.7977,-29.789505,1.0,-1.0,1.0,1.0037135,1.0
-0.0225,1.0,50.0,1.0,231.7977,-80.491516,1.0,-1.0,1.0,1.0037135,1.0
-0.022,1.0,50.0,1.0,231.7977,-129.21162,1.0,-1.0,1.0,1.0037135,1.0
-0.0215,1.0,50.0,1.0,231.7977,-174.75005,1.0,-1.0,1.0,1.0037135,1.0
-0.021,1.0,50.0,1.0,231.7977,-215.98552,1.0,-1.0,1.0,1.0037135,1.0
-0.0205,1.0,50.0,1.0,231.7977,-251.9028,1.0,-1.0,1.0,1.0037135,1.0
-0.02,1.0,50.0,1.0,231.7977,-281.6173,1.0,-1.0,1.0,1.0037135,1.0
-0.0195,1.0,50.0,1.0,231.7977,-304.39755,1.0,-1.0,1.0,1.0037135,1.0
-0.019,1.0,50.0,1.0,231.7977,-319.68246,1.0,-1.0,1.0,1.0037135,1.0
-0.0185,1.0,50.0,1.0,231.7977,-327.09573,1.0,-1.0,1.0,1.0037135,1.0
-0.018,1.0,50.0,1.0,231.7977,-326.45483,1.0,-1.0,1.0,1.0037135,1.0
-0.0175,1.0,50.0,1.0,231.7977,-317.77554,1.0,-1.0,1.0,1.0037135,1.0
-0.017,1.0,50.0,1.0,231.7977,-301.27155,1.0,-1.0,1.0,1.0037135,1.0
-0.0165,1.0,50.0,1.0,231.7977,-277.34927,1.0,-1.0,1.0,1.0037135,1.0
-0.016,1.0,50.0,1.0,231.7977,-246.5977,1.0,-1.0,1.0,1.0037135,1.0
-0.0155,1.0,50.0,1.0,231.7977,-209.7741,1.0,-1.0,1.0,1.0037135,1.0
-0.015,1.0,50.0,1.0,231.7977,-167.78514,1.0,-1.0,1.0,1.0037135,1.0
-0.0145,1.0,50.0,1.0,231.7977,-121.664734,1.0,-1.0,1.0,1.0037135,1.0
-0.014,1.0,50.0,1.0,231.7977,-72.548615,1.0,-1.0,1.0,1.0037135,1.0
-0.0135,1.0,50.0,1.0,231.7977,-21.646078,1.0,-1.0,1.0,1.0037135,1.0
-0.013,1.0,50.0,1.0,231.7977,29.789513,1.0,-1.0,1.0,1.0037135,1.0
-0.0125,1.0,50.0,1.0,231.7977,80.49155,1.0,-1.0,1.0,1.0037135,1.0
-0.012,1.0,50.0,1.0,231.7977,129.21158,1.0,-1.0,1.0,1.0037135,1.0
-0.0115,1.0,50.0,1.0,231.7977,174.75002,1.0,-1.0,1.0,1.0037135,1.0
-0.011,1.0,50.0,1.0,231.7977,215.98555,1.0,-1.0,1.0,1.0037135,1.0
-0.0105,1.0,50.0,1.0,231.7977,251.90279,1.0,-1.0,1.0,1.0037135,1.0
-0.01,1.0,50.0,1.0,231.7977,281.61734,1.0,-1.0,1.0,1.0037135,1.0
-0.0095,1.0,50.0,1.0,231.7977,304.39752,1.0,-1.0,1.0,1.0037135,1.0
-0.009,1.0,50.0,1.0,231.7977,319.6825,1.0,-1.0,1.0,1.0037135,1.0
-0.0085,1.0,50.0,1.0,231.7977,327.09573,1.0,-1.0,1.0,1.0037135,1.0
-0.008,1.0,50.0,1.0,231.7977,326.45483,1.0,-1.0,1.0,1.0037135,1.0
-0.0075,1.0,50.0,1.0,231.7977,317.77554,1.0,-1.0,1.0,1.0037135,1.0
-0.007,1.0,50.0,1.0,231.7977,301.27155,1.0,-1.0,1.0,1.0037135,1.0
-0.0065,1.0,50.0,1.0,231.7977,277.34927,1.0,-1.0,1.0,1.0037135,1.0
-0.006,1.0,50.0,1.0,231.7977,246.5977,1.0,-1.0,1.0,1.0037135,1.0
-0.0055,1.0,50.0,1.0,231.7977,209.77408,1.0,-1.0,1.0,1.0037135,1.0
-0.005,1.0,50.0,1.0,231.7977,167.78516,1.0,-1.0,1.0,1.0037135,1.0
-0.0045,1.0,50.0,1.0,231.7977,121.664764,1.0,-1.0,1.0,1.0037135,1.0
-0.004,1.0,50.0,1.0,231.7977,72.54859,1.0,-1.0,1.0,1.0037135,1.0
-0.0035,1.0,50.0,1.0,231.7977,21.646059,1.0,-1.0,1.0,1.0037135,1.0
-0.003,1.0,50.0,1.0,231.7977,-29.789488,1.0,-1.0,1.0,1.0037135,1.0
-0.0025,1.0,50.0,1.0,231.7977,-80.49153,1.0,-1.0,1.0,1.0037135,1.0
-0.002,1.0,50.0,1.0,231.7977,-129.21161,1.0,-1.0,1.0,1.0037135,1.0
-0.0015,1.0,50.0,1.0,231.7977,-174.75003,1.0,-1.0,1.0,1.0037135,1.0
-0.001,1.0,50.0,1.0,231.7977,-215.9855,1.0,-1.0,1.0,1.0037135,1.0
-0.0005,1.0,50.0,1.0,231.7977,-251.90279,1.0,-1.0,1.0,1.0037135,1.0
0.0,0.93,50.0,1.0,231.7977,-281.6094,1.0,-1.0,1.0,1.0037135,1.0
0.0005,0.93,49.999992,1.0,231.7977,-302.9728,1.0,-1.0,0.9999998,1.0037135,1.0
0.001,0.93,49.99988,1.0,231.7977,-317.7938,1.0,-1.0,0.9999976,1.0037135,1.0
0.0015,0.93,49.999535,1.0,231.7977,-325.81345,1.0,-1.0,0.9999907,1.0037135,1.0
0.002,0.93,49.998837,1.0,231.7977,-326.90317,1.0,-1.0,0.99997675,1.0037135,1.0
0.0025,0.93,49.997677,1.0,231.7977,-321.06836,1.0,-1.0,0.99995357,1.0037135,1.0
0.003,0.93,49.99597,1.0,231.7977,-308.44632,1.0,-1.0,0.9999194,1.0037135,1.0
0.0035,0.93,49.993637,1.0,231.7977,-289.30765,1.0,-1.0,0.99987274,1.0037135,1.0
0.004,0.93,49.99061,1.0,231.7977,-264.05203,1.0,-1.0,0.9998121,1.0037135,1.0
0.0045,0.93,49.986828,1.0,231.7977,-233.20737,1.0,-1.0,0.99973655,1.0037135,1.0
0.005,0.93,49.982254,1.0,231.7977,-197.41885,1.0,-1.0,0.9996451,1.0037135,1.0
