Time,Fg_Input,MS_S3.Freq_Grid,MS_S3.Sfb,MS_S3.VAn_RMS_Grid,MS_S3.Van_Grid,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,Vg_Input
-0.05,1.0,50.0,1.0,231.7977,-196.13809,1.0,-1.0,1.0,1.0037135,1.0
-0.0495,1.0,50.0,1.0,231.7977,-234.8124,1.0,-1.0,1.0,1.0037135,1.0
-0.049,1.0,50.0,1.0,231.7977,-267.7049,1.0,-1.0,1.0,1.0037135,1.0
-0.0485,1.0,50.0,1.0,231.7977,-294.00558,1.0,-1.0,1.0,1.0037135,1.0
-0.048,1.0,50.0,1.0,231.7977,-313.0669,1.0,-1.0,1.0,1.0037135,1.0
-0.0475,1.0,50.0,1.0,231.7977,-324.41946,1.0,-1.0,1.0,1.0037135,1.0
-0.047,1.0,50.0,1.0,231.7977,-327.78372,1.0,-1.0,1.0,1.0037135,1.0
-0.0465,1.0,50.0,1.0,231.7977,-323.07687,1.0,-1.0,1.0,1.0037135,1.0
-0.046,1.0,50.0,1.0,231.7977,-310.4148,1.0,-1.0,1.0,1.0037135,1.0
-0.0455,1.0,50.0,1.0,231.7977,-290.10928,1.0,-1.0,1.0,1.0037135,1.0
-0.045,1.0,50.0,1.0,231.7977,-262.6603,1.0,-1.0,1.0,1.0037135,1.0
-0.0445,1.0,50.0,1.0,231.7977,-228.74377,1.0,-1.0,1.0,1.0037135,1.0
-0.044,1.0,50.0,1.0,231.7977,-189.19478,1.0,-1.0,1.0,1.0037135,1.0
-0.0435,1.0,50.0,1.0,231.7977,-144.98726,1.0,-1.0,1.0,1.0037135,1.0
-0.043,1.0,50.0,1.0,231.7977,-97.2096,1.0,-1.0,1.0,1.0037135,1.0
-0.0425,1.0,50.0,1.0,231.7977,-47.038315,1.0,-1.0,1.0,1.0037135,1.0
-0.042,1.0,50.0,1.0,231.7977,4.2911444,1.0,-1.0,1.0,1.0037135,1.0
-0.0415,1.0,50.0,1.0,231.7977,55.515007,1.0,-1.0,1.0,1.0037135,1.0
-0.041,1.0,50.0,1.0,231.7977,105.371864,1.0,-1.0,1.0,1.0037135,1.0
-0.0405,1.0,50.0,1.0,231.7977,152.63417,1.0,-1.0,1.0,1.0037135,1.0
-0.04,1.0,50.0,1.0,231.7977,196.13806,1.0,-1.0,1.0,1.0037135,1.0
-0.0395,1.0,50.0,1.0,231.7977,234.8124,1.0,-1.0,1.0,1.0037135,1.0
-0.039,1.0,50.0,1.0,231.7977,267.70486,1.0,-1.0,1.0,1.0037135,1.0
-0.0385,1.0,50.0,1.0,231.7977,294.0056,1.0,-1.0,1.0,1.0037135,1.0
-0.038,1.0,50.0,1.0,231.7977,313.06686,1.0,-1.0,1.0,1.0037135,1.0
