Time,Fg_Input,MS_S3.Freq_Grid,MS_S3.Sfb,MS_S3.VAn_RMS_Grid,MS_S3.Van_Grid,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,Vg_Input
-0.05,1.0,50.0,1.0,231.7977,138.42575,1.0,-1.0,1.0,1.0037135,1.0
-0.0495,1.0,50.0,1.0,231.7977,183.20613,1.0,-1.0,1.0,1.0037135,1.0
-0.049,1.0,50.0,1.0,231.7977,223.47537,1.0,-1.0,1.0,1.0037135,1.0
-0.0485,1.0,50.0,1.0,231.7977,258.2419,1.0,-1.0,1.0,1.0037135,1.0
-0.048,1.0,50.0,1.0,231.7977,286.6497,1.0,-1.0,1.0,1.0037135,1.0
-0.0475,1.0,50.0,1.0,231.7977,307.9991,1.0,-1.0,1.0,1.0037135,1.0
-0.047,1.0,50.0,1.0,231.7977,321.7647,1.0,-1.0,1.0,1.0037135,1.0
-0.0465,1.0,50.0,1.0,231.7977,327.60727,1.0,-1.0,1.0,1.0037135,1.0
-0.046,1.0,50.0,1.0,231.7977,325.38315,1.0,-1.0,1.0,1.0037135,1.0
-0.0455,1.0,50.0,1.0,231.7977,315.14694,1.0,-1.0,1.0,1.0037135,1.0
-0.045,1.0,50.0,1.0,231.7977,297.1508,1.0,-1.0,1.0,1.0037135,1.0
-0.0445,1.0,50.0,1.0,231.7977,271.83786,1.0,-1.0,1.0,1.0037135,1.0
-0.044,1.0,50.0,1.0,231.7977,239.83131,1.0,-1.0,1.0,1.0037135,1.0
-0.0435,1.0,50.0,1.0,231.7977,201.91934,1.0,-1.0,1.0,1.0037135,1.0
-0.043,1.0,50.0,1.0,231.7977,159.03545,1.0,-1.0,1.0,1.0037135,1.0
-0.0425,1.0,50.0,1.0,231.7977,112.23558,1.0,-1.0,1.0,1.0037135,1.0
-0.042,1.0,50.0,1.0,231.7977,62.67207,1.0,-1.0,1.0,1.0037135,1.0
-0.0415,1.0,50.0,1.0,231.7977,11.565409,1.0,-1.0,1.0,1.0037135,1.0
