Time,Battery inverter (Average)1.Contactor,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Imode_control.wt_0,Battery inverter (Average)1.Control.Synch.Vt_i,Battery inverter (Average)1.Control.Synch.Vt_u,Battery inverter (Average)1.Control.Synch.dV,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.df,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.phase_match.dwt,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,EUT_Interface.va_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Inv_Cab_SM.CB_status,Battery inverter (Average)1.Control.Inv_Cab_SM.V_mode,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid following,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.StandBy,Battery inverter (Average)1.Control.Inv_Cab_SM.synch,Battery inverter (Average)1.Control.Synch.V_lock,Battery inverter (Average)1.Control.Synch.on_nominal,Battery inverter (Average)1.Control.Synch.phase_lock,EUT_Interface.On_o,EUT_Interface.Relay_o,Battery inverter (Average)1.Control.Synch.freq_lock
-0.4,0.0,0.0,0.0,0.0,-0.0,4.134336,0.0,0.99999654,0.0,1.0,1.0,0.0,4.134336,4.1340117,-0.00069611537,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003239993,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3998,0.0,0.0,0.0,0.0,-0.0,4.197168,0.0,0.99999654,0.0,1.0,1.0,0.0,4.197168,4.1968436,-0.0006961478,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003239997,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3996,0.0,0.0,0.0,0.0,-0.0,4.2599998,0.0,0.99999654,0.0,1.0,1.0,0.0,4.2599998,4.2596755,-0.00069618016,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3994,0.0,0.0,0.0,0.0,-0.0,4.3228316,0.0,0.99999654,0.0,1.0,1.0,0.0,4.3228316,4.3225074,-0.0006962126,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032400055,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3992,0.0,0.0,0.0,0.0,-0.0,4.3856635,0.0,0.99999654,0.0,1.0,1.0,0.0,4.3856635,4.3853393,-0.000696245,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032400095,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.399,0.0,0.0,0.0,0.0,-0.0,4.4484954,0.0,0.99999654,0.0,1.0,1.0,0.0,4.4484954,4.448171,-0.00069627736,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032400136,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3988,0.0,0.0,0.0,0.0,-0.0,4.5113273,0.0,0.99999654,0.0,1.0,1.0,0.0,4.5113273,4.511003,-0.0006963098,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240018,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3986,0.0,0.0,0.0,0.0,-0.0,4.5741587,0.0,0.99999654,0.0,1.0,1.0,0.0,4.5741587,4.573835,-0.0006963422,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3984,0.0,0.0,0.0,0.0,-0.0,4.6369905,0.0,0.99999654,0.0,1.0,1.0,0.0,4.6369905,4.636667,-0.00069637457,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240026,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3982,0.0,0.0,0.0,0.0,-0.0,4.6998224,0.0,0.99999654,0.0,1.0,1.0,0.0,4.6998224,4.6994987,-0.000696407,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032400305,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.398,0.0,0.0,-0.0,0.0,0.0,4.7626543,0.0,0.99999654,0.0,1.0,1.0,0.0,4.7626543,4.7623305,-0.0006964394,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032400346,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3978,0.0,0.0,-0.0,0.0,0.0,4.825486,0.0,0.99999654,0.0,1.0,1.0,0.0,4.825486,4.8251624,-0.00069647183,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240039,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3976,0.0,0.0,-0.0,0.0,0.0,4.888318,0.0,0.99999654,0.0,1.0,1.0,0.0,4.888318,4.8879943,-0.0006965042,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240043,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3974,0.0,0.0,-0.0,0.0,0.0,4.95115,0.0,0.99999654,0.0,1.0,1.0,0.0,4.95115,4.950826,-0.0006965366,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032400474,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3972,0.0,0.0,-0.0,0.0,0.0,5.013982,0.0,0.99999654,0.0,1.0,1.0,0.0,5.013982,5.013658,-0.00069656904,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032400517,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.397,0.0,0.0,-0.0,0.0,0.0,5.0768137,0.0,0.99999654,0.0,1.0,1.0,0.0,5.0768137,5.0764894,-0.0006966014,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240056,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3968,0.0,0.0,-0.0,0.0,0.0,5.1396456,0.0,0.99999654,0.0,1.0,1.0,0.0,5.1396456,5.1393213,-0.0006966338,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032400608,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3966,0.0,0.0,-0.0,0.0,0.0,5.2024775,0.0,0.99999654,0.0,1.0,1.0,0.0,5.2024775,5.202153,-0.00069666625,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032400654,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3964,0.0,0.0,-0.0,0.0,0.0,5.2653093,0.0,0.99999654,0.0,1.0,1.0,0.0,5.2653093,5.264985,-0.0006966986,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032400698,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3962,0.0,0.0,-0.0,0.0,0.0,5.328141,0.0,0.99999654,0.0,1.0,1.0,0.0,5.328141,5.327817,-0.00069673103,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032400744,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.396,0.0,0.0,-0.0,0.0,0.0,5.390973,0.0,0.99999654,0.0,1.0,1.0,0.0,5.390973,5.390649,-0.00069676345,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240079,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3958,0.0,0.0,-0.0,0.0,0.0,5.453805,0.0,0.99999654,0.0,1.0,1.0,0.0,5.453805,5.4534807,-0.0006967958,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240084,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3956,0.0,0.0,-0.0,0.0,0.0,5.516637,0.0,0.99999654,0.0,1.0,1.0,0.0,5.516637,5.5163126,-0.00069682824,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032400887,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3954,0.0,0.0,-0.0,0.0,0.0,5.5794687,0.0,0.99999654,0.0,1.0,1.0,0.0,5.5794687,5.5791445,-0.00069686066,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032400934,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3952,0.0,0.0,-0.0,0.0,0.0,5.6423006,0.0,0.99999654,0.0,1.0,1.0,0.0,5.6423006,5.6419764,-0.000696893,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032400983,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.395,0.0,0.0,-0.0,0.0,0.0,5.7051325,0.0,0.99999654,0.0,1.0,1.0,0.0,5.7051325,5.704808,-0.00069692545,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240103,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3948,0.0,0.0,-0.0,0.0,0.0,5.767964,0.0,0.99999654,0.0,1.0,1.0,0.0,5.767964,5.76764,-0.00069695787,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032401076,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3946,0.0,0.0,-0.0,0.0,0.0,5.830796,0.0,0.99999654,0.0,1.0,1.0,0.0,5.830796,5.830472,-0.00069699023,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032401126,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3944,0.0,0.0,-0.0,0.0,0.0,5.8936276,0.0,0.99999654,0.0,1.0,1.0,0.0,5.8936276,5.893304,-0.00069702265,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032401172,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3942,0.0,0.0,-0.0,0.0,0.0,5.9564595,0.0,0.99999654,0.0,1.0,1.0,0.0,5.9564595,5.9561357,-0.0006970551,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240122,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.394,0.0,0.0,-0.0,0.0,0.0,6.0192914,0.0,0.99999654,0.0,1.0,1.0,0.0,6.0192914,6.0189676,-0.00069708744,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032401268,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3938,0.0,0.0,-0.0,0.0,0.0,6.0821233,0.0,0.99999654,0.0,1.0,1.0,0.0,6.0821233,6.0817995,-0.00069711986,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032401315,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3936,0.0,0.0,-0.0,0.0,0.0,6.144955,0.0,0.99999654,0.0,1.0,1.0,0.0,6.144955,6.1446314,-0.0006971523,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032401364,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3934,0.0,0.0,-0.0,0.0,0.0,6.207787,0.0,0.99999654,0.0,1.0,1.0,0.0,6.207787,6.207463,-0.0006971847,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032401414,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3932,0.0,0.0,-0.0,0.0,0.0,6.270619,0.0,0.99999654,0.0,1.0,1.0,0.0,6.270619,6.2702947,-0.00069721707,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240146,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.393,0.0,0.0,0.0,0.0,0.0,0.050265484,0.0,0.99999654,0.0,1.0,1.0,0.0,0.050265484,0.049941413,-0.0006972495,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240151,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3928,0.0,0.0,0.0,0.0,0.0,0.11309733,0.0,0.99999654,0.0,1.0,1.0,0.0,0.11309733,0.11277327,-0.0006972819,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032401556,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3926,0.0,0.0,0.0,0.0,0.0,0.17592919,0.0,0.99999654,0.0,1.0,1.0,0.0,0.17592919,0.17560512,-0.0006973143,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.000324016,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3924,0.0,0.0,0.0,0.0,0.0,0.23876104,0.0,0.99999654,0.0,1.0,1.0,0.0,0.23876104,0.23843697,-0.0006973467,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032401647,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3922,0.0,0.0,0.0,0.0,0.0,0.3015929,0.0,0.99999654,0.0,1.0,1.0,0.0,0.3015929,0.30126882,-0.0006973791,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240169,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.392,0.0,0.0,0.0,0.0,0.0,0.36442474,0.0,0.99999654,0.0,1.0,1.0,0.0,0.36442474,0.36410066,-0.0006974115,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032401734,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3918,0.0,0.0,0.0,0.0,0.0,0.4272566,0.0,0.99999654,0.0,1.0,1.0,0.0,0.4272566,0.42693254,-0.0006974439,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032401775,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3916,0.0,0.0,0.0,0.0,0.0,0.49008846,0.0,0.99999654,0.0,1.0,1.0,0.0,0.49008846,0.4897644,-0.0006974763,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032401818,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3914,0.0,0.0,0.0,0.0,0.0,0.5529203,0.0,0.99999654,0.0,1.0,1.0,0.0,0.5529203,0.5525962,-0.0006975087,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240186,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3912,0.0,0.0,0.0,0.0,0.0,0.61575216,0.0,0.99999654,0.0,1.0,1.0,0.0,0.61575216,0.6154281,-0.0006975411,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.000324019,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.391,0.0,0.0,0.0,0.0,0.0,0.67858404,0.0,0.99999654,0.0,1.0,1.0,0.0,0.67858404,0.67825997,-0.00069757353,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032401943,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3908,0.0,0.0,0.0,0.0,0.0,0.74141586,0.0,0.99999654,0.0,1.0,1.0,0.0,0.74141586,0.7410918,-0.00069760595,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032401984,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3906,0.0,0.0,0.0,0.0,0.0,0.80424774,0.0,0.99999654,0.0,1.0,1.0,0.0,0.80424774,0.80392367,-0.0006976383,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032402025,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3904,0.0,0.0,0.0,0.0,0.0,0.86707956,0.0,0.99999654,0.0,1.0,1.0,0.0,0.86707956,0.8667555,-0.00069767074,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032402066,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3902,0.0,0.0,0.0,0.0,0.0,0.92991143,0.0,0.99999654,0.0,1.0,1.0,0.0,0.92991143,0.92958736,-0.00069770316,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240211,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.39,0.0,0.0,0.0,0.0,0.0,0.99274325,0.0,0.99999654,0.0,1.0,1.0,0.0,0.99274325,0.9924192,-0.0006977355,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240215,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3898,0.0,0.0,0.0,0.0,0.0,1.0555751,0.0,0.99999654,0.0,1.0,1.0,0.0,1.0555751,1.055251,-0.00069776794,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.0003240219,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3896,0.0,0.0,0.0,0.0,0.0,1.118407,0.0,0.99999654,0.0,1.0,1.0,0.0,1.118407,1.1180829,-0.00069780037,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032402232,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3894,0.0,0.0,0.0,0.0,0.0,1.1812389,0.0,0.99999654,0.0,1.0,1.0,0.0,1.1812389,1.1809148,-0.00069783273,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032402272,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.3892,0.0,0.0,0.0,0.0,0.0,1.2440706,0.0,0.99999654,0.0,1.0,1.0,0.0,1.2440706,1.2437466,-0.00069786515,0.0,0.0,0.0,0.0,-6.0704326e-09,-0.00032402313,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
