Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,PCC_Control.CB_faults,PCC_Control.fault_vpu,PCC_Control.fault_fpu,PCC_Control.Fault,PCC_Control.GFL,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control.d_2_f,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,0.5,0.0,50000.0,-1.2058573e-06,10112.81,10159.167,0.5012026,0.5012026,-3.6328275e-12,7.3113675e-09,0.9976006,-7.230831e-12,-75.866714,-256.5741,-256.5741,88.204865,109.66943,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13770717,0.50295573,5.376469,5.3791666,1.0,-22.376675,98.243385,-45.62058,302.19467,-2.2200883e-16,1.0654693e-14,5.376469,5.376469,5.376469,0.03958906,1.0,1.0,1.0,5.3791666,5.376469,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2998,0.5,0.0,50000.0,-1.8032601e-06,10112.81,10159.167,0.5012026,0.5012026,-3.296947e-11,3.5481038e-09,0.9976006,-6.5622896e-11,-71.34428,-243.45877,-243.45876,88.204865,105.720924,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13771199,0.5029558,5.439301,5.4419985,1.0,-28.64438,99.988655,-65.78711,309.24588,-2.2200883e-16,1.0658222e-14,5.439301,5.439301,5.439301,0.039589062,1.0,1.0,1.0,5.4419985,5.439301,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2996,0.5,0.0,50000.0,-2.2366933e-06,10112.81,10159.167,0.5012026,0.5012026,-6.25188e-11,-2.610016e-09,0.9976006,-1.2443829e-10,-66.540276,-229.38261,-229.38261,88.204865,101.35517,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13771679,0.50295573,5.502133,5.5048304,1.0,-34.799038,101.33931,-85.694016,315.07663,-2.2200883e-16,1.0294635e-14,5.502133,5.502133,5.502133,0.03958905,1.0,1.0,1.0,5.5048304,5.502133,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2994,0.5,0.0,50000.0,-2.6216908e-06,10112.81,10159.167,0.5012026,0.5012026,-7.2051726e-11,4.304799e-09,0.9976006,-1.4341275e-10,-61.473667,-214.40118,-214.40118,88.204865,96.589424,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13772158,0.5029558,5.564965,5.5676622,1.0,-40.816364,102.29003,-105.26272,319.6639,-2.2200883e-16,9.890818e-15,5.564965,5.564965,5.564965,0.039589066,1.0,1.0,1.0,5.5676622,5.564965,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2992,0.5,0.0,50000.0,-2.7106912e-06,10112.81,10159.167,0.5012026,0.5012026,-6.92781e-11,1.4516794e-09,0.9976006,-1.378921e-10,-56.16445,-198.57362,-198.57362,88.204865,91.44249,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13772638,0.50295573,5.6277966,5.630494,1.0,-46.672604,102.83705,-124.416,322.98962,-2.2200883e-16,9.742869e-15,5.6277966,5.6277966,5.6277966,0.039589066,1.0,1.0,1.0,5.630494,5.6277966,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.299,0.5,0.0,50000.0,-3.0251813e-06,10112.81,10159.167,0.5012026,0.5012026,-4.8145942e-11,5.809279e-09,0.9976006,-9.583036e-11,-50.633583,-181.96237,-181.96237,88.204865,85.93467,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13773118,0.50295573,5.6906285,5.693326,1.0,-52.344646,102.978226,-143.07826,325.04065,-2.2200883e-16,9.561135e-15,5.6906285,5.6906285,5.6906285,0.039589055,1.0,1.0,1.0,5.693326,5.6906285,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2988,0.5,0.0,50000.0,-3.453393e-06,10112.81,10159.167,0.5012026,0.5012026,-3.6554364e-11,1.6691128e-10,0.9976006,-7.275832e-11,-44.902885,-164.63301,-164.63301,88.204865,80.08771,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13773598,0.5029558,5.7534604,5.756158,1.0,-57.810112,102.713,-161.17587,325.8089,-2.2200883e-16,9.111669e-15,5.7534604,5.7534604,5.7534604,0.03958906,1.0,1.0,1.0,5.756158,5.7534604,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2986,0.5,0.0,50000.0,-3.744508e-06,10112.81,10159.167,0.5012026,0.5012026,-4.5200264e-11,-5.7823843e-09,0.9976006,-8.9967235e-11,-38.994976,-146.65392,-146.65392,88.204865,73.924675,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13774078,0.50295573,5.8162923,5.8189898,1.0,-63.047424,102.0424,-178.63739,325.2913,-2.2200883e-16,8.885156e-15,5.8162923,5.8162923,5.8162923,0.03958906,1.0,1.0,1.0,5.8189898,5.8162923,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2984,0.5,0.0,50000.0,-3.838003e-06,10112.81,10159.167,0.5012026,0.5012026,-6.6199796e-11,2.5835453e-10,0.9976006,-1.31765e-10,-32.93317,-128.09604,-128.09604,88.204865,67.469894,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13774557,0.5029558,5.879124,5.8818216,1.0,-68.03592,100.96909,-195.3939,323.48996,-2.2200883e-16,8.843724e-15,5.879124,5.879124,5.879124,0.03958906,1.0,1.0,1.0,5.8818216,5.879124,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2982,0.5,0.0,50000.0,-4.0813147e-06,10112.81,10159.167,0.5012026,0.5012026,-1.0345736e-10,8.257872e-09,0.9976006,-2.0592299e-10,-26.741394,-109.03264,-109.03264,88.204865,60.748833,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13775037,0.50295573,5.941956,5.9446535,1.0,-72.755905,99.4973,-211.37929,320.41193,-2.2200883e-16,8.758809e-15,5.941956,5.941956,5.941956,0.03958906,1.0,1.0,1.0,5.9446535,5.941956,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
