Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.fault_vpu,PCC_Control1.fault_fpu,PCC_Control1.Fault,PCC_Control1.GFL,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,1.0,0.0,100000.0,-1.598356e-06,-50012.984,-9990.45,0.9961575,0.9961575,9.7270934e-11,1.0910777e-08,1.0038573,9.8022784e-11,-197.15811,-320.1498,-320.1498,73.29171,94.870895,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,4.9296665,4.921437,1.0,53.67332,143.48479,98.86676,221.28304,0.0,1.12630107e-13,4.9296665,4.9296665,4.9296665,0.039837316,1.0,1.0,1.0,4.921437,4.9296665,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2998,1.0,0.0,100000.0,-2.085473e-06,-50012.984,-9990.45,0.9961575,0.9961576,1.6999053e-11,-8.9390617e-10,1.0038573,1.7130446e-11,-193.5132,-315.0802,-315.0802,73.29171,92.062325,1.0,143.78273,231.8309,1.0,-1.0,0.9979245,4.9924984,4.9842687,1.0,41.21838,152.29482,79.04358,236.03662,0.0,1.1154227e-13,4.9924984,4.9924984,4.9924984,0.039837305,1.0,1.0,1.0,4.9842687,4.9924984,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2996,1.0,0.0,100000.0,-2.4549493e-06,-50012.984,-9990.45,0.9961575,0.9961576,-6.707551e-11,3.656183e-09,1.0038573,-6.759397e-11,-189.10458,-308.76712,-308.76712,73.29171,88.890434,1.0,143.78273,231.8309,1.0,-1.0,0.9979245,5.0553303,5.0471005,1.0,28.60077,160.50381,58.90845,249.85869,0.0,1.1061045e-13,5.0553303,5.0553303,5.0553303,0.03983731,1.0,1.0,1.0,5.0471005,5.0553303,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2994,1.0,0.0,100000.0,-2.8158033e-06,-50012.984,-9990.45,0.9961575,0.9961575,-1.513191e-10,3.6269818e-09,1.0038573,-1.5248872e-10,-183.94968,-301.2355,-301.2355,73.29171,85.36774,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,5.118162,5.1099324,1.0,15.870286,168.07939,38.540836,262.69467,0.0,1.0889452e-13,5.118162,5.118162,5.118162,0.03983732,1.0,1.0,1.0,5.1099324,5.118162,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2992,1.0,0.0,100000.0,-3.1993825e-06,-50012.984,-9990.45,0.9961575,0.9961575,-2.0067377e-10,6.3212315e-09,1.0038573,-2.0222488e-10,-178.06879,-292.515,-292.515,73.29171,81.508125,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,5.180994,5.1727643,1.0,3.077169,174.99162,18.021118,274.4939,0.0,1.07667286e-13,5.180994,5.180994,5.180994,0.039837323,1.0,1.0,1.0,5.1727643,5.180994,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.299,1.0,0.0,100000.0,-3.3106858e-06,-50012.984,-9990.45,0.9961575,0.9961576,-2.1962411e-10,1.4959133e-08,1.0038573,-2.2132168e-10,-171.48514,-282.64014,-282.64014,73.29171,77.32685,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,5.243826,5.235596,1.0,-9.728092,181.21324,-2.5697212,285.20987,0.0,1.0695936e-13,5.243826,5.243826,5.243826,0.039837334,1.0,1.0,1.0,5.235596,5.243826,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2988,1.0,0.0,100000.0,-3.648675e-06,-50012.984,-9990.45,0.9961575,0.9961575,-2.3101862e-10,5.244296e-09,1.0038573,-2.3280426e-10,-164.22473,-271.64978,-271.64978,73.29171,72.8404,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,5.306658,5.298428,1.0,-22.49496,186.7197,-23.15042,294.8002,0.0,1.0658265e-13,5.306658,5.306658,5.306658,0.039837316,1.0,1.0,1.0,5.298428,5.306658,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2986,1.0,0.0,100000.0,-4.0354116e-06,-50012.984,-9990.45,0.9961575,0.9961575,-2.1811548e-10,4.00932e-09,1.0038573,-2.198014e-10,-156.3162,-259.58737,-259.58737,73.29171,68.066475,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,5.3694897,5.36126,1.0,-35.173054,191.48924,-43.63975,303.2271,0.0,1.0643302e-13,5.3694897,5.3694897,5.3694897,0.039837316,1.0,1.0,1.0,5.36126,5.3694897,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2984,1.0,0.0,100000.0,-4.328601e-06,-50012.984,-9990.45,0.9961575,0.9961575,-1.9785691e-10,1.62576e-08,1.0038573,-1.9938624e-10,-147.79076,-246.50047,-246.50047,73.29171,63.023926,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,5.432321,5.424092,1.0,-47.71233,195.50308,-63.95686,310.45734,0.0,1.05984225e-13,5.432321,5.432321,5.432321,0.039837293,1.0,1.0,1.0,5.424092,5.432321,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2982,1.0,0.0,100000.0,-4.3553473e-06,-50012.984,-9990.45,0.9961575,0.9961575,-1.9875952e-10,7.253551e-09,1.0038573,-2.0029582e-10,-138.68204,-232.44075,-232.44075,73.29171,57.732643,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,5.495153,5.486923,1.0,-60.063313,198.74536,-84.02155,316.4623,0.0,1.0570792e-13,5.495153,5.495153,5.495153,0.03983733,1.0,1.0,1.0,5.486923,5.495153,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.298,1.0,0.0,100000.0,-4.43685e-06,-50012.984,-9990.45,0.9961575,0.9961576,-1.826348e-10,1.9777632e-08,1.0038573,-1.8404646e-10,-129.02602,-217.46368,-217.46368,73.29171,52.21352,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,5.557985,5.549755,1.0,-72.177246,201.20328,-103.75466,321.21835,0.0,1.0541773e-13,5.557985,5.557985,5.557985,0.039837316,1.0,1.0,1.0,5.549755,5.557985,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2978,1.0,0.0,100000.0,-4.3754594e-06,-50012.984,-9990.45,0.9961575,0.9961575,-1.7324941e-10,-5.661662e-09,1.0038573,-1.7458854e-10,-118.860794,-201.6284,-201.6284,73.29171,46.48833,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,5.6208167,5.612587,1.0,-84.00634,202.86713,-123.07829,324.7067,0.0,1.0381454e-13,5.6208167,5.6208167,5.6208167,0.039837316,1.0,1.0,1.0,5.612587,5.6208167,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2976,1.0,0.0,100000.0,-4.1627886e-06,-50012.984,-9990.45,0.9961575,0.9961575,-1.54136e-10,2.757388e-09,1.0038573,-1.5532738e-10,-108.22648,-184.99738,-184.99738,73.29171,40.579678,1.0,143.78273,231.8309,1.0,-1.0,0.9979245,5.6836486,5.675419,1.0,-95.50389,203.73036,-141.91618,326.91357,0.0,1.02448195e-13,5.6836486,5.6836486,5.6836486,0.039837305,1.0,1.0,1.0,5.675419,5.6836486,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2974,1.0,0.0,100000.0,-3.9823417e-06,-50012.984,-9990.45,0.9961575,0.9961575,-1.4121226e-10,5.8906044e-09,1.0038573,-1.4230377e-10,-97.16504,-167.63625,-167.63625,73.29171,34.510876,1.0,143.78273,231.8309,1.0,-1.0,0.9979245,5.7464805,5.7382507,1.0,-106.624535,203.78957,-160.19402,327.83026,0.0,1.01923034e-13,5.7464805,5.7464805,5.7464805,0.039837312,1.0,1.0,1.0,5.7382507,5.7464805,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2972,1.0,0.0,100000.0,-3.683907e-06,-50012.984,-9990.45,0.9961575,0.9961576,-1.1947249e-10,-6.6761427e-09,1.0038573,-1.2039594e-10,-85.72014,-149.61354,-149.61354,73.29171,28.305876,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,5.8093123,5.8010826,1.0,-117.32438,203.04451,-177.83961,327.45316,0.0,1.01450024e-13,5.8093123,5.8093123,5.8093123,0.039837305,1.0,1.0,1.0,5.8010826,5.8093123,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.297,1.0,0.0,100000.0,-3.1485488e-06,-50012.984,-9990.45,0.9961575,0.9961575,-9.841856e-11,1.6884442e-08,1.0038573,-9.9179276e-11,-73.936935,-131.00038,-131.00038,73.29171,21.989162,1.0,143.78273,231.8309,1.0,-1.0,0.9979245,5.872144,5.8639145,1.0,-127.561195,201.49812,-194.78337,325.78375,0.0,1.0070978e-13,5.872144,5.872144,5.872144,0.039837305,1.0,1.0,1.0,5.8639145,5.872144,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2968,1.0,0.0,100000.0,-2.7600327e-06,-50012.984,-9990.45,0.9961575,0.9961575,-7.9973805e-11,1.5566176e-08,1.0038573,-8.059196e-11,-61.86194,-111.87022,-111.87022,73.29171,15.585674,1.0,143.78273,231.8309,1.0,-1.0,0.9979245,5.934976,5.9267464,1.0,-137.29459,199.15652,-210.9584,322.8286,0.0,9.9782846e-14,5.934976,5.934976,5.934976,0.0398373,1.0,1.0,1.0,5.9267464,5.934976,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2966,1.0,0.0,100000.0,-2.5315942e-06,-50012.984,-9990.45,0.9961575,0.9961575,-9.0376095e-11,-8.44192e-09,1.0038573,-9.1074655e-11,-49.5428,-92.29855,-92.29855,73.29171,9.120676,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,5.997808,5.9895782,1.0,-146.48615,196.02895,-226.30087,318.59943,0.0,9.861929e-14,5.997808,5.997808,5.997808,0.03983731,1.0,1.0,1.0,5.9895782,5.997808,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2964,1.0,0.0,100000.0,-2.2341255e-06,-50012.984,-9990.45,0.9961575,0.9961575,-1.2032637e-10,1.139053e-09,1.0038573,-1.2125644e-10,-37.02814,-72.36263,-72.36263,73.29171,2.619679,1.0,143.78273,231.8309,1.0,-1.0,0.9979245,6.06064,6.05241,1.0,-155.09958,192.12772,-240.75024,313.11288,0.0,9.780881e-14,6.06064,6.06064,6.06064,0.0398373,1.0,1.0,1.0,6.05241,6.06064,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2962,1.0,0.0,100000.0,-2.0795512e-06,-50012.984,-9990.45,0.9961575,0.9961575,-1.8353817e-10,1.1092075e-08,1.0038573,-1.8495681e-10,-24.367346,-52.141125,-52.141125,73.29171,-3.8916612,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,6.1234717,6.115242,1.0,-163.10092,187.46826,-254.2495,306.39062,0.0,9.701569e-14,6.1234717,6.1234717,6.1234717,0.03983732,1.0,1.0,1.0,6.115242,6.1234717,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.296,1.0,0.0,100000.0,-1.9867878e-06,-50012.984,-9990.45,0.9961575,0.9961575,-2.315942e-10,-1.1785425e-08,1.0038573,-2.3338428e-10,-11.610385,-31.713844,-31.713842,73.29171,-10.387646,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,6.1863036,6.178074,1.0,-170.45856,182.06895,-266.74533,298.45917,0.0,9.6149346e-14,6.1863036,6.1863036,6.1863036,0.03983729,1.0,1.0,1.0,6.178074,6.1863036,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2958,1.0,0.0,100000.0,-1.7230881e-06,-50012.984,-9990.45,0.9961575,0.9961575,-2.6421074e-10,7.432578e-09,1.0038573,-2.6625294e-10,1.1923962,-11.1614,-11.161399,73.29171,-16.842627,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,6.2491355,6.240906,1.0,-177.1435,175.9511,-278.18845,289.34982,0.0,9.533498e-14,6.2491355,6.2491355,6.2491355,0.039837312,1.0,1.0,1.0,6.240906,6.2491355,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2956,1.0,0.0,100000.0,-1.5151385e-06,-50012.984,-9990.45,0.9961575,0.9961575,-2.3083928e-10,-2.9316658e-09,1.0038573,-2.3262355e-10,13.990472,9.435092,9.435094,73.29171,-23.231142,1.0,143.78273,231.8309,1.0,-1.0,0.9979245,0.028781924,0.020552225,1.0,-183.1293,169.13884,-288.53366,279.09857,0.0,9.4507e-14,0.028781924,0.028781924,0.028781924,0.039837297,1.0,1.0,1.0,0.020552225,0.028781924,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2954,1.0,0.0,100000.0,-1.2379268e-06,-50012.984,-9990.45,0.9961575,0.9961575,-1.6844319e-10,-4.612304e-09,1.0038573,-1.6974516e-10,26.733332,29.994349,29.99435,73.29171,-29.527973,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,0.09161378,0.083384074,1.0,-188.39241,161.65907,-297.74017,267.74585,0.0,9.3797244e-14,0.09161378,0.09161378,0.09161378,0.039837312,1.0,1.0,1.0,0.083384074,0.09161378,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2952,1.0,0.0,100000.0,-7.5453636e-07,-50012.984,-9990.45,0.9961575,0.9961575,-1.03356476e-10,6.579547e-09,1.0038573,-1.04155365e-10,39.37069,50.43523,50.435234,73.29171,-35.70827,1.0,143.78273,231.8309,1.0,-1.0,0.9979245,0.15444563,0.14621593,1.0,-192.912,153.5413,-305.77167,255.33643,0.0,9.2999305e-14,0.15444563,0.15444563,0.15444563,0.03983732,1.0,1.0,1.0,0.14621593,0.15444563,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.295,1.0,0.0,100000.0,-4.9748263e-07,-50012.984,-9990.45,0.9961575,0.9961575,-3.9924786e-11,-1.0864981e-08,1.0038573,-4.0233383e-11,51.85267,70.67707,70.67707,73.29171,-41.74764,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,0.21727748,0.20904778,1.0,-196.67026,144.8176,-312.5964,241.91933,0.0,9.20827e-14,0.21727748,0.21727748,0.21727748,0.039837293,1.0,1.0,1.0,0.20904778,0.21727748,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2948,1.0,0.0,100000.0,6.817844e-08,-50012.984,-9990.45,0.9961575,0.9961575,3.3950537e-11,-1.1147949e-09,1.0038573,3.4212955e-11,64.130005,90.63998,90.63998,73.29171,-47.62225,1.0,143.78273,231.8309,1.0,-1.0,0.9979245,0.28010935,0.27187964,1.0,-199.65234,135.52234,-318.18744,227.54747,0.0,9.120812e-14,0.28010935,0.28010935,0.28010935,0.039837297,1.0,1.0,1.0,0.27187964,0.28010935,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2946,1.0,0.0,100000.0,4.2309375e-07,-50012.984,-9990.45,0.9961575,0.9961575,8.683244e-11,2.0874735e-08,1.0038573,8.75036e-11,76.15426,110.24517,110.24517,73.29171,-53.308918,1.0,143.78273,231.8309,1.0,-1.0,0.99792457,0.3429412,0.3347115,1.0,-201.84651,125.692245,-322.52277,212.2776,0.0,9.0402824e-14,0.3429412,0.3429412,0.3429412,0.039837327,1.0,1.0,1.0,0.3347115,0.3429412,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2944,1.0,0.0,100000.0,9.169673e-07,-50012.984,-9990.45,0.9961575,0.9961575,1.1642001e-10,-1.0789173e-08,1.0038573,1.1731988e-10,87.87796,129.41527,129.41527,73.29171,-58.7852,1.0,143.78273,231.8309,1.0,-1.0,0.9979245,0.40577304,0.39754334,1.0,-203.24406,115.366104,-325.58524,196.16997,0.0,8.971787e-14,0.40577304,0.40577304,0.40577304,0.039837316,1.0,1.0,1.0,0.39754334,0.40577304,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2942,1.0,0.0,100000.0,1.4654552e-06,-50012.984,-9990.45,0.9961575,0.9961575,1.4015651e-10,-1.8169226e-09,1.0038573,1.4123984e-10,99.254845,148.07463,148.07463,73.29171,-64.02949,1.0,143.78273,231.8309,1.0,-1.0,0.9979245,0.4686049,0.4603752,1.0,-203.83951,104.58466,-327.36276,179.28813,0.0,8.90448e-14,0.4686049,0.4686049,0.4686049,0.03983731,1.0,1.0,1.0,0.4603752,0.4686049,-0.0,-5.564264e-09,1.0,1.0038573,1.0,-1.0,1.0,0.0,1.0,1.0
