Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.fault_vpu,PCC_Control1.fault_fpu,PCC_Control1.Fault,PCC_Control1.GFL,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,1.0,0.0,100000.0,5.68596e-05,-90010.52,1.3597639,0.99665344,0.99665344,9.086167e-11,-2.4409847e-08,1.0033578,9.1472885e-11,65.66507,117.779305,117.7793,14.367765,-7.3068514,1.0,143.85431,231.71556,1.0,-1.0,0.99841815,2.7739494,2.7575078,1.0,134.40033,-200.0654,205.93892,-323.71823,2.4060485e-11,1.0812774e-12,2.7739494,2.7739494,2.7739494,0.03981754,1.0,1.0,1.0,2.7575078,2.7739494,-0.0,-9.41449e-09,1.0,1.0033578,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2998,1.0,0.0,100000.0,6.0454582e-05,-90010.52,1.3597639,0.99665344,0.99665344,6.839558e-10,-4.7606974e-08,1.0033578,6.8855666e-10,53.4104,98.345695,98.345695,14.367765,-6.1018953,1.0,143.85431,231.71556,1.0,-1.0,0.99841815,2.8367813,2.8203397,1.0,143.76842,-197.17882,221.53777,-319.88345,2.2716936e-11,1.0720948e-12,2.8367813,2.8367813,2.8367813,0.039817553,1.0,1.0,1.0,2.8203397,2.8367813,-0.0,-9.391539e-09,1.0,1.0033578,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2996,1.0,0.0,100000.0,6.363251e-05,-90010.52,1.3597639,0.99665344,0.99665344,1.1459872e-09,-2.48624e-08,1.0033578,1.1536961e-09,40.944946,78.523964,78.523964,14.367765,-4.8728633,1.0,143.85431,231.71556,1.0,-1.0,0.99841815,2.8996131,2.8831716,1.0,152.5691,-193.51407,236.26231,-314.7863,2.1271367e-11,1.061843e-12,2.8996131,2.8996131,2.8996131,0.039817527,1.0,1.0,1.0,2.8831716,2.8996131,-0.0,-9.36004e-09,1.0,1.0033578,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2994,1.0,0.0,100000.0,6.700852e-05,-90010.52,1.3597639,0.99665344,0.99665344,1.5554302e-09,-4.5368964e-08,1.0033578,1.5658934e-09,28.3179,58.392338,58.392338,14.367765,-3.6246006,1.0,143.85431,231.71556,1.0,-1.0,0.9984181,2.962445,2.9460032,1.0,160.76768,-189.08559,250.05443,-308.44678,1.9858363e-11,1.0512141e-12,2.962445,2.962445,2.962445,0.039817546,1.0,1.0,1.0,2.9460032,2.962445,-0.0,-9.320458e-09,1.0,1.0033578,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2992,1.0,0.0,100000.0,7.072808e-05,-90010.52,1.3597639,0.99665344,0.99665344,2.0397215e-09,-1.6762373e-08,1.0033578,2.0534425e-09,15.579097,38.030254,38.030254,14.367765,-2.3620439,1.0,143.85431,231.71556,1.0,-1.0,0.99841815,3.025277,3.008835,1.0,168.33179,-183.91089,262.8597,-300.88995,1.8528757e-11,1.041696e-12,3.025277,3.025277,3.025277,0.039817546,1.0,1.0,1.0,3.008835,3.025277,-0.0,-9.273054e-09,1.0,1.0033578,1.0,-1.0,1.0,0.0,1.0,1.0
-0.299,1.0,0.0,100000.0,7.393798e-05,-90010.52,1.3597639,0.99665344,0.99665344,2.636161e-09,-4.2817923e-08,1.0033578,2.653894e-09,2.7788093,17.518085,17.518085,14.367765,-1.0901804,1.0,143.85431,231.71556,1.0,-1.0,0.99841815,3.0881085,3.071667,1.0,175.23157,-178.01038,274.6276,-292.1457,1.7130547e-11,1.0336697e-12,3.0881085,3.0881085,3.0881085,0.03981756,1.0,1.0,1.0,3.071667,3.0881085,-0.0,-9.218278e-09,1.0,1.0033578,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2988,1.0,0.0,100000.0,7.619673e-05,-90010.52,1.3597639,0.99665344,0.99665344,3.2591123e-09,-1.9788626e-08,1.0033578,3.2810359e-09,-10.032444,-3.063215,-3.0632167,14.367765,0.18597795,1.0,143.85431,231.71556,1.0,-1.0,0.99841815,3.1509404,3.1344988,1.0,181.43977,-171.40733,285.31165,-282.24844,1.5680148e-11,1.0270711e-12,3.1509404,3.1509404,3.1509404,0.03981755,1.0,1.0,1.0,3.1344988,3.1509404,-0.0,-9.1565315e-09,1.0,1.0033578,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2986,1.0,0.0,100000.0,7.8040815e-05,-90010.52,1.3538702,0.99665344,0.99665344,3.8015027e-09,-1.0629625e-09,1.0033578,3.827075e-09,-22.804106,-23.632425,-23.632427,14.367765,1.4613969,1.0,143.85431,231.71556,1.0,-1.0,0.99841815,3.2137723,3.1973307,1.0,186.93193,-164.12782,294.86972,-271.23727,1.4274146e-11,1.0288821e-12,3.2137723,3.2137723,3.2137723,0.039817568,1.0,1.0,1.0,3.1973307,3.2137723,-0.0,-9.088157e-09,1.0,1.0033578,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2984,1.0,0.0,100000.0,7.970598e-05,-90010.52,1.3538702,0.99665344,0.9966534,4.2067567e-09,-1.7459518e-08,1.0033578,4.235055e-09,-35.485767,-44.10837,-44.10837,14.367765,2.731049,1.0,143.85431,231.71556,1.0,-1.0,0.99841815,3.2766042,3.2601626,1.0,191.68636,-156.20058,303.26404,-259.15567,1.2904135e-11,1.0365383e-12,3.2766042,3.2766042,3.2766042,0.03981757,1.0,1.0,1.0,3.2601626,3.2766042,-0.0,-9.0134415e-09,1.0,1.0033578,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2982,1.0,0.0,100000.0,8.191473e-05,-90010.52,1.3538702,0.99665344,0.99665344,4.6158677e-09,-3.2105547e-08,1.0033578,4.646918e-09,-48.027386,-64.41025,-64.41025,14.367765,3.9899065,1.0,143.85431,231.71556,1.0,-1.0,0.99841815,3.339436,3.3229945,1.0,195.68427,-147.65688,310.46155,-246.0513,1.1532379e-11,1.0436284e-12,3.339436,3.339436,3.339436,0.039817575,1.0,1.0,1.0,3.3229945,3.339436,-0.0,-8.932766e-09,1.0,1.0033578,1.0,-1.0,1.0,0.0,1.0,1.0
