Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,PCC_Control.CB_faults,PCC_Control.fault_vpu,PCC_Control.fault_fpu,PCC_Control.Fault,PCC_Control.GFL,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control.d_2_f,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,1.0,0.0,100000.0,-2.0312898e-06,-89909.92,1.0005536,0.996657,0.996657,-2.5962815e-10,1.2640569e-08,1.0033542,-2.6137276e-10,-200.3056,-319.09872,-319.09872,14.512541,19.985016,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,4.4828444,4.466058,1.0,133.45789,66.84771,224.12161,94.97712,-0.0,1.0619812e-13,4.4828444,4.4828444,4.4828444,0.039817438,1.0,1.0,1.0,4.466058,4.4828444,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2998,1.0,0.0,100000.0,-1.946213e-06,-89909.92,1.0005536,0.996657,0.996657,-1.9733411e-10,-3.926217e-09,1.0033542,-1.9866013e-10,-202.3251,-323.15082,-323.15082,14.512541,20.238926,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,4.545676,4.5288897,1.0,123.50967,78.81544,208.66823,114.48259,-0.0,1.0745623e-13,4.545676,4.545676,4.545676,0.03981743,1.0,1.0,1.0,4.5288897,4.545676,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2996,1.0,0.0,100000.0,-1.834865e-06,-89909.92,1.0005536,0.996657,0.996657,-1.3327951e-10,1.5778173e-08,1.0033542,-1.3417512e-10,-203.54613,-325.92758,-325.92758,14.512541,20.412973,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,4.608508,4.5917215,1.0,113.07401,90.47212,192.39133,133.53625,-0.0,1.0832971e-13,4.608508,4.608508,4.608508,0.039817434,1.0,1.0,1.0,4.5917215,4.608508,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2994,1.0,0.0,100000.0,-1.594101e-06,-89909.92,1.0005536,0.996657,0.996657,-1.3184617e-10,-2.2710671e-09,1.0033542,-1.3273213e-10,-203.96384,-327.41806,-327.41806,14.512541,20.506449,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,4.67134,4.6545534,1.0,102.1921,101.77174,175.35515,152.06291,-0.0,1.0959831e-13,4.67134,4.67134,4.67134,0.039817423,1.0,1.0,1.0,4.6545534,4.67134,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2992,1.0,0.0,100000.0,-1.5883534e-06,-89909.92,1.0005536,0.996657,0.9966571,-1.6624693e-10,1.6476196e-08,1.0033542,-1.6736407e-10,-203.5766,-327.61636,-327.61636,14.512541,20.518988,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,4.734172,4.7173853,1.0,90.90688,112.66972,157.62692,169.98944,-0.0,1.107085e-13,4.734172,4.734172,4.734172,0.039817426,1.0,1.0,1.0,4.7173853,4.734172,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.299,1.0,0.0,100000.0,-1.0479927e-06,-89909.92,1.0005536,0.996657,0.996657,-1.5912015e-10,-2.8746623e-09,1.0033542,-1.6018939e-10,-202.38594,-326.52173,-326.52173,14.512541,20.450558,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,4.7970037,4.780217,1.0,79.26289,123.12305,139.27661,187.24512,-0.0,1.11088784e-13,4.7970037,4.7970037,4.7970037,0.03981744,1.0,1.0,1.0,4.780217,4.7970037,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2988,1.0,0.0,100000.0,-4.5817916e-07,-89909.92,1.0005536,0.996657,0.996657,-6.03422e-11,-9.526683e-09,1.0033542,-6.0747685e-11,-200.39656,-324.13846,-324.13846,14.512541,20.301426,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,4.8598356,4.843049,1.0,67.3061,133.09045,120.37664,203.76181,-0.0,1.1109821e-13,4.8598356,4.8598356,4.8598356,0.039817408,1.0,1.0,1.0,4.843049,4.8598356,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2986,1.0,0.0,100000.0,-7.5911055e-07,-89909.92,1.0005536,0.996657,0.996657,7.412869e-12,9.816648e-09,1.0033542,7.4626815e-12,-197.6163,-320.47595,-320.47595,14.512541,20.072168,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,4.9226675,4.9058805,1.0,55.08367,142.53262,101.00161,219.47435,-0.0,1.11267556e-13,4.9226675,4.9226675,4.9226675,0.03981742,1.0,1.0,1.0,4.9058805,4.9226675,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2984,1.0,0.0,100000.0,-1.2136912e-06,-89909.92,1.0005536,0.996657,0.9966571,-1.0031732e-10,1.4245747e-08,1.0033542,-1.0099142e-10,-194.05614,-315.54868,-315.54868,14.512541,19.763683,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,4.985499,4.9687123,1.0,42.643856,151.41228,81.22796,234.32072,-0.0,1.12352056e-13,4.985499,4.985499,4.985499,0.039817423,1.0,1.0,1.0,4.9687123,4.985499,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2982,1.0,0.0,100000.0,-5.5129294e-07,-89909.92,1.0005536,0.996657,0.9966571,-2.2781549e-10,5.9952376e-09,1.0033542,-2.2934633e-10,-189.73012,-309.37607,-309.37607,14.512541,19.377207,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.048331,5.031544,1.0,30.035744,159.69438,61.13374,248.24234,-0.0,1.13365026e-13,5.048331,5.048331,5.048331,0.03981744,1.0,1.0,1.0,5.031544,5.048331,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
