Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.fault_vpu,PCC_Control1.fault_fpu,PCC_Control1.Fault,PCC_Control1.GFL,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,1.0,0.0,100000.0,3.737975e-06,-50015.418,-14.17552,0.9980956,0.9980955,4.0119566e-10,2.23439e-08,1.0019081,4.0272816e-10,203.9564,327.1876,327.1876,72.00659,-101.8216,1.0,144.06245,231.38075,1.0,-0.28746605,0.9998577,1.5852566,1.576583,1.0,-92.394516,-111.5619,-159.49615,-167.69145,1.2813795e-11,-3.085804e-14,1.5852566,1.5852566,1.5852566,0.03975997,1.0,1.0,1.0,1.576583,1.5852566,-0.0,-5.5649383e-09,1.0,1.0019081,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2995,1.0,0.0,100000.0,3.102831e-06,-50015.418,-14.17552,0.9980956,0.9980956,3.2661654e-10,1.6467993e-08,1.0019081,3.2786415e-10,199.71422,322.4192,322.4192,72.00659,-100.333145,1.0,144.06245,231.38075,1.0,-0.2874756,0.9998577,1.7423363,1.7336627,1.0,-62.760166,-136.95406,-112.83626,-209.58293,1.2813795e-11,-3.101114e-14,1.7423363,1.7423363,1.7423363,0.039759982,1.0,1.0,1.0,1.7336627,1.7423363,-0.0,-5.5649383e-09,1.0,1.0019081,1.0,-1.0,1.0,0.0,1.0,1.0
-0.299,1.0,0.0,100000.0,1.6911317e-06,-50015.418,-14.17552,0.9980956,0.9980956,2.2096969e-10,8.5215035e-09,1.0019081,2.2181375e-10,190.5544,309.71176,309.71176,72.00659,-96.37416,1.0,144.06245,231.38075,1.0,-0.28748512,0.9998577,1.8994159,1.8907423,1.0,-31.580454,-158.97395,-63.39797,-246.3138,1.2813795e-11,-3.1320903e-14,1.8994159,1.8994159,1.8994159,0.039759994,1.0,1.0,1.0,1.8907423,1.8994159,-0.0,-5.5649383e-09,1.0,1.0019081,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2985,1.0,0.0,100000.0,1.9116526e-07,-50015.418,-14.17552,0.9980956,0.9980956,4.9644896e-11,1.1613801e-08,1.0019081,4.983453e-11,176.7025,289.3782,289.3782,72.00659,-90.042114,1.0,144.06245,231.38075,1.0,-0.28749466,0.9998577,2.0564954,2.047822,1.0,0.37687448,-177.07938,-12.398606,-276.97958,1.2813795e-11,-3.1626228e-14,2.0564954,2.0564954,2.0564954,0.039759986,1.0,1.0,1.0,2.047822,2.0564954,-0.0,-5.5649383e-09,1.0,1.0019081,1.0,-1.0,1.0,0.0,1.0,1.0
-0.298,1.0,0.0,100000.0,-1.5038205e-06,-50015.418,-14.17552,0.9980956,0.9980956,-6.597674e-11,-2.2404626e-08,1.0019081,-6.622875e-11,158.4996,261.9192,261.9192,72.00659,-81.492935,1.0,144.06245,231.38075,1.0,-0.2875042,0.9998577,2.2135751,2.2049017,1.0,32.324924,-190.82452,38.90605,-300.82523,1.2813795e-11,-3.1525208e-14,2.2135751,2.2135751,2.2135751,0.039759986,1.0,1.0,1.0,2.2049017,2.2135751,-0.0,-5.5649383e-09,1.0,1.0019081,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2975,1.0,0.0,100000.0,-2.6809766e-06,-50015.418,-14.1755705,0.9980956,0.9980956,-9.345468e-11,9.280321e-09,1.0019081,-9.381166e-11,136.39392,228.01085,228.01085,72.00659,-70.937126,1.0,144.06245,231.38075,1.0,-0.28751376,0.9998578,2.3706548,2.3619812,1.0,63.477024,-199.87094,89.25271,-317.26358,1.2813795e-11,-3.1524073e-14,2.3706548,2.3706548,2.3706548,0.039759967,1.0,1.0,1.0,2.3619812,2.3706548,-0.0,-5.5649383e-09,1.0,1.0019081,1.0,-1.0,1.0,0.0,1.0,1.0
-0.297,1.0,0.0,100000.0,-3.428924e-06,-50015.418,-14.1755705,0.9980956,0.99809563,-6.836834e-11,2.6114646e-09,1.0019081,-6.862949e-11,110.929756,188.48813,188.48813,72.00659,-58.634613,1.0,144.06245,231.38075,1.0,-0.2875233,0.9998578,2.5277345,2.5190609,1.0,93.06611,-203.99586,137.40167,-325.8898,1.2813795e-11,-3.1779446e-14,2.5277345,2.5277345,2.5277345,0.03975997,1.0,1.0,1.0,2.5190609,2.5277345,-0.0,-5.5649383e-09,1.0,1.0019081,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2965,1.0,0.0,100000.0,-4.123364e-06,-50015.418,-14.1755705,0.9980956,0.9980956,-6.29869e-11,-2.5199018e-09,1.0019081,-6.32275e-11,82.73414,144.32422,144.32422,72.00659,-44.88832,1.0,144.06245,231.38075,1.0,-0.28753284,0.9998577,2.684814,2.6761405,1.0,120.3636,-203.09773,182.16734,-326.49158,1.2813795e-11,-3.244122e-14,2.684814,2.684814,2.684814,0.03975998,1.0,1.0,1.0,2.6761405,2.684814,-0.0,-5.5649383e-09,1.0,1.0019081,1.0,-1.0,1.0,0.0,1.0,1.0
-0.296,1.0,0.0,100000.0,-4.5046436e-06,-50015.418,-14.1755705,0.9980956,0.9980956,-1.6145144e-10,6.004955e-09,1.0019081,-1.6206815e-10,52.50133,96.60655,96.60655,72.00659,-30.036736,1.0,144.06245,231.38075,1.0,-0.28754237,0.9998578,2.8418937,2.8332202,1.0,144.69734,-197.19867,222.44746,-319.05402,1.2813795e-11,-3.2417072e-14,2.8418937,2.8418937,2.8418937,0.03975998,1.0,1.0,1.0,2.8332202,2.8418937,-0.0,-5.5649383e-09,1.0,1.0019081,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2955,1.0,0.0,100000.0,-4.720348e-06,-50015.418,-14.1755705,0.9980956,0.9980956,-3.1675593e-10,3.7570222e-09,1.0019081,-3.1796588e-10,20.975765,46.51012,46.510117,72.00659,-14.445534,1.0,144.06245,231.38075,1.0,-0.2875519,0.9998578,2.9989734,2.9902997,1.0,165.46815,-186.44391,257.25018,-303.76028,1.2813795e-11,-3.2412465e-14,2.9989734,2.9989734,2.9989734,0.039759997,1.0,1.0,1.0,2.9902997,2.9989734,-0.0,-5.5649383e-09,1.0,1.0019081,1.0,-1.0,1.0,0.0,1.0,1.0
