Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.fault_vpu,PCC_Control1.fault_fpu,PCC_Control1.Fault,PCC_Control1.GFL,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,1.0,0.0,100000.0,1.8823123e-06,-50002.0,10004.708,1.0000578,1.0000578,3.858182e-10,9.223374e-09,0.9999421,3.8577355e-10,194.80112,306.6492,306.6492,73.59828,-88.806274,1.0,144.34569,230.92674,1.0,-0.49568203,1.0018152,1.2196293,1.2105875,1.0,-151.73428,-43.066833,-250.61511,-56.034084,0.0,-6.447071e-14,1.2196293,1.2196293,1.2196293,0.039681982,1.0,1.0,1.0,1.2105875,1.2196293,-0.0,-5.5649383e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2998,1.0,0.0,100000.0,1.3650098e-06,-50002.0,10004.708,1.0000578,1.0000579,3.1858918e-10,1.4771227e-08,0.9999421,3.1855232e-10,198.35616,313.09805,313.09808,73.59828,-92.03962,1.0,144.34569,230.92674,1.0,-0.4956819,1.0018152,1.2824612,1.2734194,1.0,-142.81166,-55.544495,-236.97255,-76.12553,0.0,-6.246148e-14,1.2824612,1.2824612,1.2824612,0.03968197,1.0,1.0,1.0,1.2734194,1.2824612,-0.0,-5.5649383e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2996,1.0,0.0,100000.0,9.4206376e-07,-50002.0,10004.708,1.0000578,1.0000579,2.3862637e-10,2.1411273e-08,0.9999421,2.3859875e-10,201.12836,318.31128,318.31128,73.59828,-94.90972,1.0,144.34569,230.92674,1.0,-0.49568182,1.0018152,1.345293,1.3362513,1.0,-133.32541,-67.80295,-222.39474,-95.916534,0.0,-6.0724165e-14,1.345293,1.345293,1.345293,0.039681986,1.0,1.0,1.0,1.3362513,1.345293,-0.0,-5.5649383e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2994,1.0,0.0,100000.0,6.532806e-07,-50002.0,10004.708,1.0000578,1.0000579,1.9596888e-10,-2.0898772e-08,0.9999421,1.9594619e-10,203.10681,322.26828,322.26828,73.59828,-97.405266,1.0,144.34569,230.92674,1.0,-0.4956817,1.0018152,1.4081249,1.3990831,1.0,-123.312996,-79.793816,-206.93927,-115.32901,0.0,-5.904009e-14,1.4081249,1.4081249,1.4081249,0.039681982,1.0,1.0,1.0,1.3990831,1.4081249,-0.0,-5.5649383e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2992,1.0,0.0,100000.0,5.891943e-07,-50002.0,10004.708,1.0000578,1.0000579,2.0379404e-10,3.853438e-09,0.9999421,2.0377044e-10,204.28369,324.95343,324.95343,73.59828,-99.51639,1.0,144.34569,230.92674,1.0,-0.49568158,1.0018152,1.4709567,1.4619149,1.0,-112.81392,-91.46977,-190.66708,-134.28633,0.0,-5.745432e-14,1.4709567,1.4709567,1.4709567,0.039681982,1.0,1.0,1.0,1.4619149,1.4709567,-0.0,-5.5649383e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.299,1.0,0.0,100000.0,4.860124e-07,-50002.0,10004.708,1.0000578,1.0000579,2.706241e-10,8.408685e-09,0.9999421,2.7059277e-10,204.65436,326.3561,326.3561,73.59828,-101.234764,1.0,144.34569,230.92674,1.0,-0.49568146,1.0018152,1.5337886,1.5247468,1.0,-101.86961,-102.78474,-173.64243,-152.71368,0.0,-5.6048594e-14,1.5337886,1.5337886,1.5337886,0.03968198,1.0,1.0,1.0,1.5247468,1.5337886,-0.0,-5.5649383e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2988,1.0,0.0,100000.0,7.288472e-08,-50002.0,10004.708,1.0000578,1.0000579,3.3399733e-10,1.2167556e-08,0.9999421,3.3395867e-10,204.21733,326.47086,326.47086,73.59828,-102.55361,1.0,144.34569,230.92674,1.0,-0.49568135,1.0018152,1.5966204,1.5875787,1.0,-90.52328,-113.69406,-155.9325,-170.53835,0.0,-5.4761656e-14,1.5966204,1.5966204,1.5966204,0.039681986,1.0,1.0,1.0,1.5875787,1.5966204,-0.0,-5.5649383e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2986,1.0,0.0,100000.0,-2.5536866e-07,-50002.0,10004.708,1.0000578,1.0000579,3.4030542e-10,8.662518e-09,0.9999421,3.4026604e-10,202.97437,325.29715,325.29715,73.59828,-103.46772,1.0,144.34569,230.92674,1.0,-0.49568123,1.0018152,1.6594523,1.6504105,1.0,-78.81969,-124.154686,-137.60716,-187.68997,0.0,-5.3347727e-14,1.6594523,1.6594523,1.6594523,0.03968199,1.0,1.0,1.0,1.6504105,1.6594523,-0.0,-5.5649383e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2984,1.0,0.0,100000.0,-6.108605e-07,-50002.0,10004.708,1.0000578,1.0000579,3.0909691e-10,1.751706e-08,0.9999421,3.0906117e-10,200.93036,322.83963,322.83963,73.59828,-103.973495,1.0,144.34569,230.92674,1.0,-0.4956811,1.0018152,1.7222842,1.7132423,1.0,-66.80503,-134.12532,-118.73875,-204.10088,0.0,-5.1812128e-14,1.7222842,1.7222842,1.7222842,0.03968197,1.0,1.0,1.0,1.7132423,1.7222842,-0.0,-5.5649383e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2982,1.0,0.0,100000.0,-9.467081e-07,-50002.0,10004.708,1.0000578,1.0000578,2.1894495e-10,8.073555e-10,0.9999421,2.189196e-10,198.09337,319.10803,319.10803,73.59828,-104.06894,1.0,144.34569,230.92674,1.0,-0.495681,1.0018152,1.785116,1.7760742,1.0,-54.52673,-143.56664,-99.40173,-219.70628,0.0,-5.0579322e-14,1.785116,1.785116,1.785116,0.039681967,1.0,1.0,1.0,1.7760742,1.785116,-0.0,-5.5649383e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
