Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.fault_vpu,PCC_Control1.fault_fpu,PCC_Control1.Fault,PCC_Control1.GFL,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,0.9,0.0,90000.0,-4.1112693e-05,10003.236,-0.77866125,0.90035784,0.9003578,-2.2119035e-09,2.7621152e-09,0.99960256,-2.4557176e-09,53.00187,80.04966,80.04966,144.3971,-50.073753,1.0,129.95523,230.84833,1.0,0.0251034,0.902116,0.2477244,0.25083098,1.0,-179.38632,126.384445,-314.1242,234.07452,2.7126357e-11,-1.7034968e-13,0.24772443,0.24772443,0.2477244,0.039668564,1.0,1.0,1.0,0.25083098,0.2477244,-2.8140501e-08,-7.16592e-09,1.0,0.99960256,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2995,0.9,0.0,90000.0,-4.089342e-05,10003.236,-0.77866125,0.90035784,0.9003578,-2.5078624e-09,-2.4609157e-08,0.99960256,-2.7842992e-09,79.965775,128.57605,128.57605,144.3971,-80.427246,1.0,129.95523,230.84833,1.0,0.025105389,0.90211594,0.40480402,0.4079106,1.0,-183.8055,103.83973,-324.16794,195.59189,2.6960562e-11,-1.6628636e-13,0.40480405,0.40480405,0.40480402,0.03966856,1.0,1.0,1.0,0.4079106,0.40480402,-2.8572304e-08,-7.2758777e-09,1.0,0.99960256,1.0,-1.0,1.0,0.0,1.0,1.0
-0.299,0.9,0.0,90000.0,-3.9894232e-05,10003.236,-0.77866125,0.90035784,0.90035784,-2.8055371e-09,-5.8412337e-09,0.99960256,-3.1147862e-09,104.96065,173.93645,173.93646,144.3971,-108.80037,1.0,129.95523,230.84833,1.0,0.02510738,0.902116,0.5618837,0.5649902,1.0,-183.69879,78.73814,-326.22958,152.29314,2.6841975e-11,-1.6261092e-13,0.5618837,0.5618837,0.5618837,0.03966853,1.0,1.0,1.0,0.5649902,0.5618837,-2.9057883e-08,-7.399529e-09,1.0,0.99960256,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2985,0.9,0.0,90000.0,-3.70178e-05,10003.236,-0.77866125,0.90035784,0.90035784,-3.0538652e-09,-1.15147385e-08,0.99960256,-3.390487e-09,127.371056,215.01398,215.01398,144.3971,-134.49449,1.0,129.95523,230.84833,1.0,0.02510937,0.902116,0.7189633,0.72206986,1.0,-179.0688,51.697746,-320.2584,105.24442,2.6660073e-11,-1.587029e-13,0.7189633,0.7189633,0.7189633,0.039668545,1.0,1.0,1.0,0.72206986,0.7189633,-2.9590288e-08,-7.535105e-09,1.0,0.99960256,1.0,-1.0,1.0,0.0,1.0,1.0
-0.298,0.9,0.0,90000.0,-3.3857457e-05,10003.236,-0.77866125,0.90035784,0.90035784,-3.2970058e-09,-1.2687715e-08,0.99960256,-3.6604286e-09,146.64516,250.79713,250.79713,144.3971,-156.87695,1.0,129.95523,230.84833,1.0,0.025111362,0.902116,0.8760429,0.8791495,1.0,-170.02954,23.384386,-306.40137,55.604233,2.5973678e-11,-1.549382e-13,0.87604296,0.87604296,0.8760429,0.03966854,1.0,1.0,1.0,0.8791495,0.8760429,-3.0160525e-08,-7.680315e-09,1.0,0.99960256,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2975,0.9,0.0,90000.0,-3.0072013e-05,10003.236,-0.77866125,0.90035784,0.90035784,-3.4158578e-09,-1.7199524e-08,0.99960256,-3.7923815e-09,162.30836,280.40485,280.40485,144.3971,-175.39659,1.0,129.95523,230.84833,1.0,0.025113352,0.902116,1.0331225,1.0362291,1.0,-156.8036,-5.504774,-284.99973,4.594887,2.531357e-11,-1.517305e-13,1.0331225,1.0331225,1.0331225,0.03966851,1.0,1.0,1.0,1.0362291,1.0331225,-3.076166e-08,-7.833393e-09,1.0,0.99960256,1.0,-1.0,1.0,0.0,1.0,1.0
-0.297,0.9,0.0,90000.0,-2.6101083e-05,10003.236,-0.77866125,0.90035784,0.90035784,-3.5225662e-09,-9.599769e-09,0.99960256,-3.910852e-09,173.97502,303.10806,303.10806,144.3971,-189.5974,1.0,129.95523,230.84833,1.0,0.025115345,0.902116,1.1902022,1.1933087,1.0,-139.71663,-34.25839,-256.58044,-46.5276,2.4669242e-11,-1.481073e-13,1.1902022,1.1902022,1.1902022,0.03966853,1.0,1.0,1.0,1.1933087,1.1902022,-3.1386232e-08,-7.992439e-09,1.0,0.99960256,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2965,0.9,0.0,90000.0,-2.0998568e-05,10003.236,-0.77866125,0.90035784,0.90035784,-3.437972e-09,-1.690929e-08,0.99960256,-3.816933e-09,181.35782,318.34775,318.34775,144.3971,-199.12971,1.0,129.95523,230.84833,1.0,0.025117336,0.902116,1.3472818,1.3503884,1.0,-119.18937,-62.16845,-221.8433,-96.504425,2.3685623e-11,-1.4517309e-13,1.3472818,1.3472818,1.3472818,0.039668523,1.0,1.0,1.0,1.3503884,1.3472818,-3.202815e-08,-8.155902e-09,1.0,0.99960256,1.0,-1.0,1.0,0.0,1.0,1.0
-0.296,0.9,0.0,90000.0,-1.5259257e-05,10003.236,-0.77866125,0.90035784,0.90035784,-3.1979084e-09,-9.588746e-09,0.99960256,-3.5504077e-09,184.27498,325.74863,325.74863,144.3971,-203.75883,1.0,129.95523,230.84833,1.0,0.025119329,0.902116,1.5043614,1.507468,1.0,-95.72727,-88.547714,-181.64365,-144.105,2.2489047e-11,-1.4162601e-13,1.5043615,1.5043615,1.5043614,0.03966851,1.0,1.0,1.0,1.507468,1.5043614,-3.2675743e-08,-8.32081e-09,1.0,0.99960256,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2955,0.9,0.0,90000.0,-9.123587e-06,10003.236,-0.77866125,0.90035784,0.90035784,-3.066486e-09,-2.3039537e-08,0.99960256,-3.404499e-09,182.6547,325.12854,325.12854,144.3971,-203.37074,1.0,129.95523,230.84833,1.0,0.025121318,0.902116,1.6614411,1.6645477,1.0,-69.90805,-112.74664,-136.97131,-188.15721,2.011188e-11,-1.3756189e-13,1.6614411,1.6614411,1.6614411,0.039668515,1.0,1.0,1.0,1.6645477,1.6614411,-3.322577e-08,-8.460873e-09,1.0,0.99960256,1.0,-1.0,1.0,0.0,1.0,1.0
-0.295,0.9,0.0,90000.0,-3.1402778e-06,10003.236,-0.77866125,0.90035784,0.90035784,-2.8033897e-09,-2.4839924e-08,0.99960256,-3.112402e-09,176.53683,316.5027,316.5027,144.3971,-197.975,1.0,129.95523,230.84833,1.0,0.02512331,0.902116,1.8185207,1.8216273,1.0,-42.36746,-134.16937,-88.9263,-227.57637,1.8029639e-11,-1.3287075e-13,1.8185208,1.8185208,1.8185207,0.039668523,1.0,1.0,1.0,1.8216273,1.8185207,-3.365175e-08,-8.569349e-09,1.0,0.99960256,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2945,0.9,0.0,90000.0,3.2002274e-06,10003.236,-0.77866125,0.90035784,0.90035784,-2.5598639e-09,-3.8477076e-08,0.99960256,-2.8420328e-09,166.07205,300.08347,300.08347,144.3971,-187.70451,1.0,129.95523,230.84833,1.0,0.025125302,0.90211594,1.9756004,1.978707,1.0,-13.783644,-152.2884,-38.691616,-261.39185,1.659744e-11,-1.2876802e-13,1.9756004,1.9756004,1.9756004,0.03966852,1.0,1.0,1.0,1.978707,1.9756004,-3.3964053e-08,-8.648875e-09,1.0,0.99960256,1.0,-1.0,1.0,0.0,1.0,1.0
-0.294,0.9,0.0,90000.0,9.310021e-06,10003.236,-0.77866125,0.90035784,0.90035784,-2.1729138e-09,-3.221257e-08,0.99960256,-2.41243e-09,151.51804,276.27524,276.27524,144.3971,-172.81212,1.0,129.95523,230.84833,1.0,0.025127294,0.902116,2.13268,2.1357865,1.0,15.139571,-166.65761,12.495779,-288.771,1.5616888e-11,-1.2568213e-13,2.13268,2.13268,2.13268,0.03966853,1.0,1.0,1.0,2.1357865,2.13268,-3.4174015e-08,-8.702341e-09,1.0,0.99960256,1.0,-1.0,1.0,0.0,1.0,1.0
