Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,PCC_Control.CB_faults,PCC_Control.fault_vpu,PCC_Control.fault_fpu,PCC_Control.Fault,PCC_Control.GFL,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.df_Switch.df_diff,Battery inverter (Average)1.Control.df_Switch.df_sync,Battery inverter (Average)1.Control.df_Switch.df_o,Battery inverter (Average)1.Control.df_Switch.Phase_Synch.dPh,Battery inverter (Average)1.Control.df_Switch.Phase_Synch.uPh,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control.d_2_f,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,0.5,0.0,50000.0,1.813593e-05,10112.809,10159.168,0.5012026,0.5012026,1.3731182e-09,2.397058e-08,0.9976006,2.7330738e-09,-102.22622,-319.3298,-319.3298,88.204865,116.42073,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11561595,0.50295573,4.512534,4.512534,1.0,61.905167,40.32105,215.68202,103.64778,5.477435e-12,6.206268e-14,4.5125346,4.5125346,4.512534,0.039589077,1.0,1.0,-5.97422e-09,0.0,-5.97422e-09,7.459254e-09,-2.9868397e-07,1.0,4.512534,4.512534,-1.11949475e-07,-7.126925e-09,0.0,0.0,1.0,1.0
-0.2998,0.5,0.0,50000.0,1.588861e-05,10112.809,10159.168,0.5012026,0.5012026,1.3409239e-09,2.9608476e-08,0.9976006,2.6689937e-09,-102.80697,-322.76117,-322.76117,88.204865,119.00348,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11562075,0.50295573,4.575366,4.575366,1.0,56.61537,46.191597,199.92259,122.83857,4.998901e-12,6.219962e-14,4.5753665,4.5753665,4.575366,0.039589077,1.0,1.0,-5.8676126e-09,0.0,-5.8676126e-09,8.0807725e-09,-2.933544e-07,1.0,4.575366,4.575366,-1.1138106e-07,-7.0907387e-09,0.0,0.0,1.0,1.0
-0.2996,0.5,0.0,50000.0,1.3699676e-05,10112.809,10159.168,0.5012026,0.5012026,1.3194421e-09,2.0878735e-08,0.9976006,2.6262361e-09,-102.98199,-324.91873,-324.91873,88.204865,121.11658,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.115625545,0.50295573,4.638198,4.638198,1.0,51.10214,51.87985,183.37415,141.54457,4.5675724e-12,6.219861e-14,4.6381984,4.6381984,4.638198,0.039589085,1.0,1.0,-5.764292e-09,0.0,-5.764292e-09,8.678237e-09,-2.8818917e-07,1.0,4.638198,4.638198,-1.108152e-07,-7.054715e-09,0.0,0.0,1.0,1.0
-0.2994,0.5,0.0,50000.0,1.1286086e-05,10112.809,10159.168,0.5012026,0.5012025,1.2927418e-09,2.8482699e-08,0.9976006,2.5730915e-09,-102.75058,-325.79398,-325.79398,88.204865,122.75168,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11563034,0.50295573,4.70103,4.70103,1.0,45.38723,57.36335,166.10202,159.69197,4.224525e-12,6.217493e-14,4.70103,4.70103,4.70103,0.039589077,1.0,1.0,-5.664183e-09,0.0,-5.664183e-09,9.252269e-09,-2.831845e-07,1.0,4.70103,4.70103,-1.1025281e-07,-7.0189117e-09,0.0,0.0,1.0,1.0
-0.2992,0.5,0.0,50000.0,8.65779e-06,10112.809,10159.168,0.5012026,0.5012026,1.2606276e-09,3.2523076e-08,0.9976006,2.5091709e-09,-102.11366,-325.38348,-325.38348,88.204865,123.90233,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.115635134,0.50295573,4.7638617,4.7638617,1.0,39.4932,62.62047,148.17436,177.20912,3.9829607e-12,6.216282e-14,4.7638617,4.7638617,4.7638617,0.039589085,1.0,1.0,-5.566974e-09,0.0,-5.566974e-09,9.804948e-09,-2.7832473e-07,1.0,4.7638617,4.7638617,-1.09693175e-07,-6.983284e-09,0.0,0.0,1.0,1.0
-0.299,0.5,0.0,50000.0,6.118858e-06,10112.809,10159.168,0.5012026,0.5012026,1.2307381e-09,2.751705e-08,0.9976006,2.4496785e-09,-101.07375,-323.68884,-323.68884,88.204865,124.564,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11563993,0.50295573,4.8266935,4.8266935,1.0,33.443306,67.63045,129.66193,194.02692,3.7887475e-12,6.216055e-14,4.8266935,4.8266935,4.8266935,0.039589074,1.0,1.0,-5.472477e-09,0.0,-5.472477e-09,1.033756e-08,-2.7360056e-07,1.0,4.8266935,4.8266935,-1.0913588e-07,-6.947806e-09,0.0,0.0,1.0,1.0
-0.2988,0.5,0.0,50000.0,3.447633e-06,10112.809,10159.168,0.5012026,0.5012026,1.1835947e-09,3.7560387e-08,0.9976006,2.3558433e-09,-99.63496,-320.71674,-320.71674,88.204865,124.73407,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11564473,0.5029558,4.8895254,4.8895254,1.0,27.261427,72.37353,110.63777,210.07898,3.584155e-12,6.216142e-14,4.8895254,4.8895254,4.8895254,0.039589085,1.0,1.0,-5.380587e-09,0.0,-5.380587e-09,1.085087e-08,-2.6900673e-07,1.0,4.8895254,4.8895254,-1.0858208e-07,-6.91255e-09,0.0,0.0,1.0,1.0
-0.2986,0.5,0.0,50000.0,5.5815383e-07,10112.809,10159.168,0.5012026,0.5012026,1.1241208e-09,3.4477353e-08,0.9976006,2.2374658e-09,-97.80294,-316.47894,-316.47894,88.204865,124.411865,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11564953,0.5029558,4.9523573,4.9523573,1.0,20.97196,76.83098,91.17698,225.30196,3.352621e-12,6.214022e-14,4.9523573,4.9523573,4.9523573,0.039589085,1.0,1.0,-5.2914895e-09,0.0,-5.2914895e-09,1.1343826e-08,-2.6455257e-07,1.0,4.9523573,4.9523573,-1.08031536e-07,-6.8775012e-09,0.0,0.0,1.0,1.0
-0.2984,0.5,0.0,50000.0,-2.3564505e-06,10112.809,10159.168,0.5012026,0.5012026,1.0515578e-09,2.6699297e-08,0.9976006,2.0930355e-09,-95.58494,-310.99213,-310.99213,88.204865,123.59866,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11565433,0.50295573,5.015189,5.015189,1.0,14.599727,80.985214,71.35635,239.63576,3.0777063e-12,6.132776e-14,5.015189,5.015189,5.015189,0.039589092,1.0,1.0,-5.205552e-09,0.0,-5.205552e-09,1.1814246e-08,-2.6025654e-07,1.0,5.015189,5.015189,-1.07484645e-07,-6.8426846e-09,0.0,0.0,1.0,1.0
-0.2982,0.5,0.0,50000.0,-5.364405e-06,10112.809,10159.168,0.5012026,0.5012026,9.634081e-10,3.7095198e-08,0.9976006,1.917581e-09,-92.98971,-304.27795,-304.27795,88.204865,122.29767,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.115659125,0.50295573,5.078021,5.078021,1.0,8.169875,84.81983,51.254124,253.02383,2.7652442e-12,6.0577906e-14,5.078021,5.078021,5.078021,0.03958908,1.0,1.0,-5.123278e-09,0.0,-5.123278e-09,1.2259118e-08,-2.5614384e-07,1.0,5.078021,5.078021,-1.06942444e-07,-6.8081674e-09,0.0,0.0,1.0,1.0
