Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,PCC_Control1.GFL,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error_Limited,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,1.0,0.0,100000.0,3.658556e-05,-50002.0,10004.708,1.0000578,1.0000579,-1.1433646e-10,2.7792861e-08,0.9999421,-1.1432323e-10,-165.96996,-272.20282,-272.20282,73.59828,96.35119,1.0,144.34569,230.92674,1.0,-0.046927676,1.0018152,5.2977805,5.2977805,1.0,-20.712854,186.68282,-20.167442,292.37027,-0.0,1.144475e-13,5.2977805,5.2977805,5.2977805,0.039681997,1.0,1.0,1.0,5.2977805,5.2977805,-8.7413845e-08,-5.5649383e-09,1.0,-1.0,1.0,0.9999421,1.0,-5.5649383e-09,0.0,1.0,1.0
-0.2995,1.0,0.0,100000.0,3.51219e-05,-50002.0,10004.708,1.0000578,1.0000579,-1.7092686e-10,-1.3011551e-08,0.9999421,-1.7090707e-10,-145.19514,-240.62395,-240.62395,73.59828,89.006386,1.0,144.34569,230.92674,1.0,-0.04692739,1.0018152,5.45486,5.45486,1.0,-52.30855,197.5037,-70.909966,311.5339,-0.0,1.0926956e-13,5.45486,5.45486,5.45486,0.039681967,1.0,1.0,1.0,5.45486,5.45486,-8.7413845e-08,-5.5649383e-09,1.0,-1.0,1.0,0.9999421,1.0,-5.5649383e-09,0.0,1.0,1.0
-0.299,1.0,0.0,100000.0,3.4286593e-05,-50002.0,10004.708,1.0000578,1.0000578,-3.154427e-10,1.3583429e-08,0.9999421,-3.154062e-10,-120.84513,-203.1201,-203.1201,73.59828,79.46995,1.0,144.34569,230.92674,1.0,-0.0469271,1.0018152,5.61194,5.61194,1.0,-82.61624,203.46138,-119.906456,323.02655,-0.0,1.0678038e-13,5.61194,5.61194,5.61194,0.039681986,1.0,1.0,1.0,5.61194,5.61194,-8.7413845e-08,-5.5649383e-09,1.0,-1.0,1.0,0.9999421,1.0,-5.5649383e-09,0.0,1.0,1.0
-0.2985,1.0,0.0,100000.0,3.4070297e-05,-50002.0,10004.708,1.0000578,1.0000578,-2.440405e-10,-2.2345934e-09,0.9999421,-2.4401225e-10,-93.51952,-160.61476,-160.61476,73.59828,67.97671,1.0,144.34569,230.92674,1.0,-0.046926808,1.0018152,5.7690196,5.7690196,1.0,-110.88965,204.40916,-165.95044,326.56522,-0.0,1.0145938e-13,5.7690196,5.7690196,5.7690196,0.03968198,1.0,1.0,1.0,5.7690196,5.7690196,-8.7413845e-08,-5.5649383e-09,1.0,-1.0,1.0,0.9999421,1.0,-5.5649383e-09,0.0,1.0,1.0
-0.298,1.0,0.0,100000.0,3.3779255e-05,-50002.0,10004.708,1.0000578,1.0000579,-1.9983226e-10,3.4756864e-09,0.9999421,-1.9980914e-10,-63.891148,-114.15456,-114.15455,73.59828,54.80965,1.0,144.34569,230.92674,1.0,-0.046926517,1.0018152,5.926099,5.926099,1.0,-136.43259,200.32373,-207.90819,322.06274,-0.0,9.827613e-14,5.9260993,5.9260993,5.926099,0.03968199,1.0,1.0,1.0,5.926099,5.926099,-8.7413845e-08,-5.5649383e-09,1.0,-1.0,1.0,0.9999421,1.0,-5.5649383e-09,0.0,1.0,1.0
-0.2975,1.0,0.0,100000.0,3.3371834e-05,-50002.0,10004.708,1.0000578,1.0000579,-3.9201292e-10,8.7253e-09,0.9999421,-3.9196754e-10,-32.68956,-64.883484,-64.883484,73.59828,40.29299,1.0,144.34569,230.92674,1.0,-0.046926226,1.0018152,6.0831785,6.0831785,1.0,-158.61609,191.30565,-244.74654,309.63,-0.0,9.4445956e-14,6.0831785,6.0831785,6.0831785,0.03968198,1.0,1.0,1.0,6.0831785,6.0831785,-8.7413845e-08,-5.5649383e-09,1.0,-1.0,1.0,0.9999421,1.0,-5.5649383e-09,0.0,1.0,1.0
-0.297,1.0,0.0,100000.0,3.3490764e-05,-50002.0,10004.708,1.0000578,1.0000579,-4.8281285e-10,-2.4638402e-08,0.9999421,-4.8275695e-10,-0.6830471,-14.014764,-14.014764,73.59828,24.784185,1.0,144.34569,230.92674,1.0,-0.046925936,1.0018152,6.240258,6.240258,1.0,-176.89395,177.577,-275.5584,289.57318,-0.0,8.913898e-14,6.240258,6.240258,6.240258,0.039681986,1.0,1.0,1.0,6.240258,6.240258,-8.7413845e-08,-5.5649383e-09,1.0,-1.0,1.0,0.9999421,1.0,-5.5649383e-09,0.0,1.0,1.0
-0.2965,1.0,0.0,100000.0,3.349193e-05,-50002.0,10004.708,1.0000578,1.0000579,-2.883415e-10,-9.741303e-09,0.9999421,-2.883081e-10,31.340284,37.199043,37.199043,73.59828,8.665121,1.0,144.34569,230.92674,1.0,-0.046925645,1.0018152,0.1141526,0.1141526,1.0,-190.81609,159.4758,-299.58514,262.38608,-0.0,8.403712e-14,0.114152685,0.114152685,0.1141526,0.039681986,1.0,1.0,1.0,0.1141526,0.1141526,-8.7413845e-08,-5.5649383e-09,1.0,-1.0,1.0,0.9999421,1.0,-5.5649383e-09,0.0,1.0,1.0
-0.296,1.0,0.0,100000.0,3.414555e-05,-50002.0,10004.708,1.0000578,1.0000579,-2.0219523e-10,-1.3298224e-08,0.9999421,-2.0217183e-10,62.591915,87.49689,87.49689,73.59828,-7.667315,1.0,144.34569,230.92674,1.0,-0.046925355,1.0018152,0.27123222,0.27123225,1.0,-200.0397,137.44778,-316.23508,228.73819,-0.0,7.978498e-14,0.2712323,0.2712323,0.27123222,0.039681993,1.0,1.0,1.0,0.27123225,0.27123222,-8.7413845e-08,-5.5649383e-09,1.0,-1.0,1.0,0.9999421,1.0,-5.5649383e-09,0.0,1.0,1.0
-0.2955,1.0,0.0,100000.0,3.594629e-05,-50002.0,10004.708,1.0000578,1.0000579,-1.1655393e-10,4.0062207e-09,0.9999421,-1.1654044e-10,92.30232,135.64026,135.64027,73.59828,-23.81096,1.0,144.34569,230.92674,1.0,-0.046925064,1.0018152,0.42831185,0.42831185,1.0,-204.33768,112.035355,-325.09827,189.458,-0.0,7.510149e-14,0.42831194,0.42831194,0.42831185,0.03968197,1.0,1.0,1.0,0.42831185,0.42831185,-8.7413845e-08,-5.5649383e-09,1.0,-1.0,1.0,0.9999421,1.0,-5.5649383e-09,0.0,1.0,1.0
