Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,PCC_Control1.GFL,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,1.0,0.0,100000.0,4.6860943e-05,-50002.633,-10000.54,0.996156,0.996156,4.1571566e-10,1.3307376e-08,1.0038589,4.1893022e-10,-201.78555,-326.12256,-326.12256,73.30904,99.032326,1.0,143.7825,231.83128,1.0,-0.3752721,0.99792296,4.815353,4.815353,1.0,75.75601,126.02955,133.87791,192.24464,3.5505744e-14,6.0389255e-14,4.815353,4.815353,4.815353,0.039837368,1.0,1.0,1.0,4.815353,4.815353,-1.366557e-07,-5.7998477e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.2995,1.0,0.0,100000.0,4.6498222e-05,-50002.633,-10000.54,0.996156,0.996156,3.8117956e-10,7.1712885e-09,1.0038589,3.8412706e-10,-194.76067,-316.8359,-316.8359,73.30904,93.01424,1.0,143.7825,231.83128,1.0,-0.3752914,0.997923,4.9724326,4.9724326,1.0,45.215893,149.54477,85.41204,231.42387,-2.4542765e-13,4.813566e-14,4.9724326,4.9724326,4.9724326,0.039837368,1.0,1.0,1.0,4.9724326,4.9724326,-1.364985e-07,-5.7931766e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.299,1.0,0.0,100000.0,4.5102555e-05,-50002.633,-10000.54,0.996156,0.996156,3.0920758e-10,1.724284e-08,1.0038589,3.1159855e-10,-182.94011,-299.7477,-299.7477,73.30904,84.70585,1.0,143.7825,231.83128,1.0,-0.3753107,0.99792296,5.1295123,5.1295123,1.0,13.562409,169.3777,34.843037,264.9047,-6.272355e-13,3.5971795e-14,5.1295123,5.1295123,5.1295123,0.03983738,1.0,1.0,1.0,5.1295123,5.1295123,-1.3632544e-07,-5.7858314e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.2985,1.0,0.0,100000.0,4.3544434e-05,-50002.633,-10000.54,0.996156,0.996156,3.8390988e-10,-4.708402e-09,1.0038589,3.868785e-10,-166.61497,-275.27875,-275.27875,73.30904,74.31172,1.0,143.7825,231.83128,1.0,-0.37533,0.99792296,5.2865915,5.2865915,1.0,-18.425024,185.04,-16.583923,291.86267,-1.0461353e-12,2.7791685e-14,5.286592,5.286592,5.2865915,0.03983737,1.0,1.0,1.0,5.2865915,5.2865915,-1.3614269e-07,-5.778075e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.298,1.0,0.0,100000.0,4.1662668e-05,-50002.633,-10000.54,0.996156,0.996156,4.2912374e-10,-1.5590703e-09,1.0038589,4.3244197e-10,-146.18721,-244.03148,-244.03148,73.30904,62.087795,1.0,143.7825,231.83128,1.0,-0.37534928,0.99792296,5.443671,5.443671,1.0,-49.95877,196.14598,-67.60253,311.634,-1.4769751e-12,2.0238672e-14,5.4436717,5.4436717,5.443671,0.039837386,1.0,1.0,1.0,5.443671,5.443671,-1.3595144e-07,-5.7699583e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.2975,1.0,0.0,100000.0,3.981677e-05,-50002.633,-10000.54,0.996156,0.996156,3.8906553e-10,-1.1081368e-08,1.0038589,3.9207404e-10,-122.15984,-206.77536,-206.77536,73.30904,48.335045,1.0,143.7825,231.83128,1.0,-0.3753686,0.99792296,5.600751,5.600751,1.0,-80.26237,202.42221,-116.956535,323.7319,-2.325421e-12,1.2474285e-14,5.600751,5.600751,5.600751,0.039837386,1.0,1.0,1.0,5.600751,5.600751,-1.3574704e-07,-5.7612835e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.297,1.0,0.0,100000.0,3.8194743e-05,-50002.633,-10000.54,0.996156,0.996156,4.5758278e-10,9.389504e-09,1.0038589,4.611211e-10,-95.1245,-164.42775,-164.42775,73.30904,33.39214,1.0,143.7825,231.83128,1.0,-0.37538788,0.99792296,5.7578306,5.7578306,1.0,-108.58964,203.71414,-163.43068,327.85843,-3.060141e-12,3.4302787e-15,5.7578306,5.7578306,5.7578306,0.03983738,1.0,1.0,1.0,5.7578306,5.7578306,-1.3553718e-07,-5.7523764e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.2965,1.0,0.0,100000.0,3.649794e-05,-50002.633,-10000.54,0.996156,0.996156,5.066992e-10,-1.0811282e-08,1.0038589,5.106173e-10,-65.746864,-118.03137,-118.03137,73.30904,17.627016,1.0,143.7825,231.83128,1.0,-0.37540716,0.99792296,5.9149103,5.9149103,1.0,-134.24307,199.98994,-205.88063,323.912,-3.5724603e-12,-6.5103643e-15,5.9149103,5.9149103,5.9149103,0.039837386,1.0,1.0,1.0,5.9149103,5.9149103,-1.3532541e-07,-5.7433884e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.296,1.0,0.0,100000.0,3.4575693e-05,-50002.633,-10000.54,0.996156,0.996156,4.40008e-10,-9.385636e-09,1.0038589,4.4341042e-10,-34.75033,-68.728676,-68.728676,73.30904,1.4278531,1.0,143.7825,231.83128,1.0,-0.37542647,0.99792296,6.07199,6.07199,1.0,-156.59099,191.34132,-243.26111,311.98978,-3.920956e-12,-1.5752055e-14,6.07199,6.07199,6.07199,0.039837364,1.0,1.0,1.0,6.07199,6.07199,-1.3511246e-07,-5.7343508e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.2955,1.0,0.0,100000.0,3.3135053e-05,-50002.633,-10000.54,0.996156,0.996156,2.6094868e-10,1.9019867e-08,1.0038589,2.629665e-10,-2.8981261,-17.733652,-17.73365,73.30904,-14.806478,1.0,143.7825,231.83128,1.0,-0.37544575,0.99792296,6.2290697,6.2290697,1.0,-175.08313,177.98126,-274.6517,292.38535,-4.1922277e-12,-2.4427102e-14,6.2290697,6.2290697,6.2290697,0.03983737,1.0,1.0,1.0,6.2290697,6.2290697,-1.3489891e-07,-5.725288e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
