Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,PCC_Control.CB_faults,PCC_Control.fault_vpu,PCC_Control.fault_fpu,PCC_Control.Fault,PCC_Control.GFL,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.df_Switch.df_diff,Battery inverter (Average)1.Control.df_Switch.df_sync,Battery inverter (Average)1.Control.df_Switch.df_o,Battery inverter (Average)1.Control.df_Switch.Phase_Synch.dPh,Battery inverter (Average)1.Control.df_Switch.Phase_Synch.uPh,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control.d_2_f,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error_Limited,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,0.5,0.0,50000.0,3.35556e-06,10112.81,10159.167,0.5012026,0.5012026,9.413639e-11,9.020982e-09,0.9976006,1.873704e-10,75.22134,219.78772,219.78772,88.204865,-67.625465,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.29956302,0.50295573,0.7403931,0.7403931,1.0,-98.52398,23.302639,-318.18832,98.400604,-2.2200883e-16,6.8664977e-14,0.7403932,0.7403932,0.7403931,0.03958905,1.0,1.0,-7.067756e-09,0.0,-7.067756e-09,6.527014e-11,-3.5338667e-07,1.0,0.7403931,0.7403931,-1.3112077e-07,-5.5649383e-09,0.0,-5.5649383e-09,0.0,1.0,1.0
-0.2998,0.5,0.0,50000.0,3.3352628e-06,10112.81,10159.167,0.5012026,0.5012026,7.232417e-11,-1.0962419e-08,0.9976006,1.4395503e-10,79.48938,234.45625,234.45624,88.204865,-74.073654,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.29956782,0.50295573,0.803225,0.803225,1.0,-96.447395,16.95802,-313.1599,78.70366,-2.2200883e-16,6.9176896e-14,0.8032251,0.8032251,0.803225,0.039589062,1.0,1.0,-7.0636097e-09,0.0,-7.0636097e-09,9.070666e-11,-3.531796e-07,1.0,0.803225,0.803225,-1.3112077e-07,-5.5649383e-09,0.0,-5.5649383e-09,0.0,1.0,1.0
-0.2996,0.5,0.0,50000.0,3.2648688e-06,10112.81,10159.167,0.5012026,0.5012026,5.879205e-11,-1.1363684e-08,0.9976006,1.1702052e-10,83.44371,248.19948,248.19948,88.204865,-80.22951,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.29957262,0.50295573,0.8660568,0.8660568,1.0,-93.99019,10.546474,-306.8956,58.696106,-2.2200883e-16,6.962022e-14,0.8660569,0.8660569,0.8660568,0.039589055,1.0,1.0,-7.0606716e-09,0.0,-7.0606716e-09,1.0845143e-10,-3.5303302e-07,1.0,0.8660568,0.8660568,-1.3112077e-07,-5.5649383e-09,0.0,-5.5649383e-09,0.0,1.0,1.0
-0.2994,0.5,0.0,50000.0,3.239632e-06,10112.81,10159.167,0.5012026,0.5012026,4.9212155e-11,1.5613763e-09,0.9976006,9.795256e-11,87.06873,260.9632,260.9632,88.204865,-86.06873,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.29957741,0.50295573,0.9288887,0.9288887,1.0,-91.16204,4.093308,-299.4201,38.456905,-2.2200883e-16,6.994981e-14,0.9288888,0.9288888,0.9288887,0.039589062,1.0,1.0,-7.058965e-09,0.0,-7.058965e-09,1.184279e-10,-3.5294795e-07,1.0,0.9288887,0.9288887,-1.3112077e-07,-5.5649383e-09,0.0,-5.5649383e-09,0.0,1.0,1.0
-0.2992,0.5,0.0,50000.0,3.1235304e-06,10112.81,10159.167,0.5012026,0.5012026,4.7374073e-11,-7.371914e-09,0.9976006,9.429402e-11,90.35013,272.697,272.697,88.204865,-91.56828,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.2995822,0.50295573,0.9917205,0.9917205,1.0,-87.97412,-2.3760133,-290.76294,18.065935,-2.2200883e-16,7.026222e-14,0.9917207,0.9917207,0.9917205,0.03958905,1.0,1.0,-7.0581314e-09,0.0,-7.0581314e-09,1.2292069e-10,-3.5290645e-07,1.0,0.9917205,0.9917205,-1.3112077e-07,-5.5649383e-09,0.0,-5.5649383e-09,0.0,1.0,1.0
-0.299,0.5,0.0,50000.0,3.0672575e-06,10112.81,10159.167,0.5012026,0.5012026,6.2508616e-11,3.9764276e-09,0.9976006,1.2441802e-10,93.274956,283.3546,283.3546,88.204865,-96.70646,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.299587,0.50295573,1.0545523,1.0545523,1.0,-84.439,-8.835958,-280.95828,-2.3963342,-2.2200883e-16,7.05242e-14,1.0545526,1.0545526,1.0545523,0.039589055,1.0,1.0,-7.057773e-09,0.0,-7.057773e-09,1.244441e-10,-3.5288855e-07,1.0,1.0545523,1.0545523,-1.3112077e-07,-5.5649383e-09,0.0,-5.5649383e-09,0.0,1.0,1.0
-0.2988,0.5,0.0,50000.0,2.875799e-06,10112.81,10159.167,0.5012026,0.5012026,7.4653575e-11,-4.4269903e-09,0.9976006,1.4859151e-10,95.83167,292.89392,292.89392,88.204865,-101.46297,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.2995918,0.50295573,1.1173842,1.1173842,1.0,-80.57064,-15.261029,-270.0448,-22.849146,-2.2200883e-16,7.074755e-14,1.1173843,1.1173843,1.1173842,0.039589062,1.0,1.0,-7.057262e-09,0.0,-7.057262e-09,1.2693134e-10,-3.5286288e-07,1.0,1.1173842,1.1173842,-1.3112077e-07,-5.5649383e-09,0.0,-5.5649383e-09,0.0,1.0,1.0
-0.2986,0.5,0.0,50000.0,2.614096e-06,10112.81,10159.167,0.5012026,0.5012026,8.580625e-11,-1.0835751e-08,0.9976006,1.7078997e-10,98.010185,301.27734,301.27734,88.204865,-105.81905,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.2995966,0.5029558,1.1802161,1.1802161,1.0,-76.38431,-21.625874,-258.06555,-43.21178,-2.2200883e-16,7.0832995e-14,1.1802162,1.1802162,1.1802161,0.039589062,1.0,1.0,-7.0561734e-09,0.0,-7.0561734e-09,1.3300618e-10,-3.5280834e-07,1.0,1.1802161,1.1802161,-1.3112077e-07,-5.5649383e-09,0.0,-5.5649383e-09,0.0,1.0,1.0
-0.2984,0.5,0.0,50000.0,2.3018524e-06,10112.81,10159.167,0.5012026,0.5012026,7.7421e-11,-2.6918077e-09,0.9976006,1.5409984e-10,99.80189,308.47174,308.47174,88.204865,-109.757515,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.2996014,0.50295573,1.243048,1.243048,1.0,-71.89652,-27.90537,-245.06786,-63.403877,-2.2200883e-16,7.083952e-14,1.2430481,1.2430481,1.243048,0.03958905,1.0,1.0,-7.0545596e-09,0.0,-7.0545596e-09,1.4231533e-10,-3.5272754e-07,1.0,1.243048,1.243048,-1.3112077e-07,-5.5649383e-09,0.0,-5.5649383e-09,0.0,1.0,1.0
-0.2982,0.5,0.0,50000.0,1.9542153e-06,10112.81,10159.167,0.5012026,0.5012026,4.9766757e-11,9.158888e-09,0.9976006,9.9056444e-11,101.19973,314.44873,314.44873,88.204865,-113.262825,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.2996062,0.5029558,1.3058798,1.3058798,1.0,-67.12499,-34.074738,-231.103,-83.34575,-2.2200883e-16,7.0828455e-14,1.30588,1.30588,1.3058798,0.039589055,1.0,1.0,-7.052884e-09,0.0,-7.052884e-09,1.5193083e-10,-3.5264384e-07,1.0,1.3058798,1.3058798,-1.3112077e-07,-5.5649383e-09,0.0,-5.5649383e-09,0.0,1.0,1.0
