Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,PCC_Control.CB_faults,PCC_Control.fault_vpu,PCC_Control.fault_fpu,PCC_Control.Fault,PCC_Control.GFL,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.df_Switch.df_diff,Battery inverter (Average)1.Control.df_Switch.df_sync,Battery inverter (Average)1.Control.df_Switch.df_o,Battery inverter (Average)1.Control.df_Switch.Phase_Synch.dPh,Battery inverter (Average)1.Control.df_Switch.Phase_Synch.uPh,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control.d_2_f,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,0.5,0.0,50000.0,-0.002020243,10112.768,10159.253,0.5012025,0.50120294,-4.0555776e-08,-2.4423468e-07,0.9976007,-8.072279e-08,58.575768,163.72083,163.72083,88.20465,-43.858036,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.062676854,0.50295615,0.5264844,0.52648413,1.0,-102.64175,44.06598,-325.81357,162.09274,-3.7838503e-11,-8.017656e-15,0.5264842,0.5264842,0.5264844,0.039588816,1.0,1.0,4.8863434e-08,0.0,4.8863434e-08,2.899954e-07,2.4415908e-06,1.0,0.52648413,0.5264844,1.9795651e-07,8.4015355e-09,0.0,0.0,1.0,1.0
-0.2998,0.5,0.0,50000.0,-0.0019885458,10112.768,10159.253,0.5012025,0.50120294,-4.242279e-08,-3.0930732e-07,0.9976007,-8.443892e-08,63.778637,181.0854,181.0854,88.20465,-51.104557,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.0626817,0.5029561,0.5893162,0.589316,1.0,-101.91319,38.13456,-325.11163,144.02621,-3.8959398e-11,-7.570161e-15,0.589316,0.589316,0.5893162,0.039588757,1.0,1.0,4.243779e-08,0.0,4.243779e-08,2.482802e-07,2.1202582e-06,1.0,0.589316,0.5893162,1.6509809e-07,7.0069803e-09,0.0,0.0,1.0,1.0
-0.2996,0.5,0.0,50000.0,-0.001948921,10112.768,10159.253,0.5012025,0.50120294,-4.411299e-08,-3.755077e-07,0.9976007,-8.780312e-08,68.729805,197.73532,197.73532,88.20465,-58.149487,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.06268653,0.50295615,0.652148,0.6521478,1.0,-100.78244,32.052643,-323.12662,125.39129,-4.0136602e-11,-6.9890937e-15,0.6521479,0.6521479,0.652148,0.039588697,1.0,1.0,3.582261e-08,0.0,3.582261e-08,2.0562383e-07,1.7894553e-06,1.0,0.6521478,0.652148,1.3099546e-07,5.5596203e-09,0.0,0.0,1.0,1.0
-0.2994,0.5,0.0,50000.0,-0.0019018548,10112.768,10159.253,0.5012025,0.50120294,-4.5640316e-08,-4.2893853e-07,0.9976007,-9.084313e-08,73.40972,213.60486,213.60486,88.20465,-64.96503,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.062691376,0.50295615,0.7149798,0.7149797,1.0,-99.25395,25.844227,-319.86636,106.261505,-4.1281468e-11,-6.1369265e-15,0.7149797,0.7149797,0.7149798,0.039588623,1.0,1.0,2.9047321e-08,0.0,2.9047321e-08,1.6221527e-07,1.4506545e-06,1.0,0.7149797,0.7149798,9.5769764e-08,4.064595e-09,0.0,0.0,1.0,1.0
-0.2992,0.5,0.0,50000.0,-0.0018473415,10112.768,10159.253,0.5012025,0.50120294,-4.7013966e-08,-4.875631e-07,0.9976007,-9.357727e-08,77.79993,228.6314,228.6314,88.20465,-71.52428,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.06269622,0.5029561,0.77781165,0.7778115,1.0,-97.33375,19.533817,-315.34375,86.71235,-4.235071e-11,-5.200258e-15,0.7778116,0.7778116,0.77781165,0.03958856,1.0,1.0,2.2138794e-08,0.0,2.2138794e-08,1.1822604e-07,1.1051978e-06,1.0,0.7778115,0.77781165,5.9536614e-08,2.5268123e-09,0.0,0.0,1.0,1.0
-0.299,0.5,0.0,50000.0,-0.0017856532,10112.768,10159.253,0.5012025,0.50120294,-4.8200384e-08,-5.594808e-07,0.9976007,-9.593873e-08,81.8831,242.75563,242.75563,88.20465,-77.80135,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.06270106,0.50295615,0.8406434,0.8406434,1.0,-95.02942,13.146317,-309.5766,66.82098,-4.342201e-11,-4.3943176e-15,0.8406434,0.8406434,0.8406434,0.03958851,1.0,1.0,1.512285e-08,0.0,1.512285e-08,7.382056e-08,7.543774e-07,1.0,0.8406434,0.8406434,2.2479282e-08,9.540504e-10,0.0,0.0,1.0,1.0
-0.2988,0.5,0.0,50000.0,-0.0017169474,10112.768,10159.253,0.5012025,0.50120294,-4.9190017e-08,-6.108933e-07,0.9976007,-9.7908504e-08,85.64311,255.92181,255.92181,88.20465,-83.771484,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.06270591,0.5029561,0.9034752,0.9034753,1.0,-92.350044,6.7069325,-302.5877,46.665897,-4.454249e-11,-3.786445e-15,0.9034752,0.9034752,0.9034752,0.03958845,1.0,1.0,8.02727e-09,0.0,8.02727e-09,2.9174272e-08,3.9958178e-07,1.0,0.9034753,0.9034752,-1.5296514e-08,-6.4920425e-10,0.0,0.0,1.0,1.0
-0.2986,0.5,0.0,50000.0,-0.0016415453,10112.768,10159.253,0.5012026,0.50120294,-4.995906e-08,-6.657045e-07,0.9976007,-9.943922e-08,89.06513,268.078,268.078,88.20465,-89.4111,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.062710755,0.5029561,0.96630704,0.9663071,1.0,-89.30621,0.24107917,-294.40466,26.326647,-4.5471186e-11,-3.217641e-15,0.9663071,0.9663071,0.96630704,0.039588396,1.0,1.0,8.790596e-10,0.0,8.790596e-10,-1.554305e-08,4.216178e-08,1.0,0.9663071,0.96630704,-5.3617207e-08,-2.275585e-09,0.0,0.0,1.0,1.0
-0.2984,0.5,0.0,50000.0,-0.0015598026,10112.768,10159.253,0.5012026,0.50120294,-5.053004e-08,-7.1743483e-07,0.9976007,-1.00575704e-07,92.13566,279.1762,279.1762,88.20465,-94.69795,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.062715605,0.5029561,1.0291388,1.0291389,1.0,-85.909935,-6.2257257,-285.0597,5.8834987,-4.5955423e-11,-2.5750767e-15,1.0291389,1.0291389,1.0291388,0.039588343,1.0,1.0,-6.2927845e-09,0.0,-6.2927845e-09,-6.0150285e-08,-3.164327e-07,1.0,1.0291389,1.0291388,-9.233698e-08,-3.9189034e-09,0.0,0.0,1.0,1.0
-0.2982,0.5,0.0,50000.0,-0.0014720332,10112.768,10159.253,0.5012026,0.50120294,-5.0887206e-08,-7.6400653e-07,0.9976007,-1.0128661e-07,94.84257,289.1726,289.1726,88.20465,-99.61117,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.06272046,0.5029561,1.0919707,1.0919708,1.0,-82.17461,-12.667961,-274.58975,-14.582869,-4.616236e-11,-1.998789e-15,1.0919708,1.0919708,1.0919707,0.039588302,1.0,1.0,-1.3459311e-08,0.0,-1.3459311e-08,-1.04467645e-07,-6.747541e-07,1.0,1.0919708,1.0919707,-1.3130767e-07,-5.572871e-09,0.0,0.0,1.0,1.0
